Model,Cell_Type,precision,recall,f1-score,support
LogReg,B cells,0.8916256157635468,0.8872549019607843,0.8894348894348895,204
LogReg,CD4+ T cells,0.7207977207977208,0.5572687224669604,0.6285714285714286,454
LogReg,CD8+ T cells,0.46808510638297873,0.6844444444444444,0.555956678700361,225
LogReg,Dendritic cells,0.44525547445255476,0.6853932584269663,0.5398230088495575,89
LogReg,Monocytes,0.9720457433290979,0.8772935779816514,0.9222423146473779,872
LogReg,NK cells,0.5683453237410072,0.6583333333333333,0.61003861003861,120
LogReg,T cells,0.5277777777777778,0.5683760683760684,0.5473251028806584,234
Random Forest,B cells,0.8727272727272727,0.9411764705882353,0.9056603773584906,204
Random Forest,CD4+ T cells,0.6189024390243902,0.44713656387665196,0.5191815856777494,454
Random Forest,CD8+ T cells,0.4083129584352078,0.7422222222222222,0.526813880126183,225
Random Forest,Dendritic cells,0.46956521739130436,0.6067415730337079,0.5294117647058824,89
Random Forest,Monocytes,0.9783989834815756,0.8830275229357798,0.9282700421940928,872
Random Forest,NK cells,0.5379746835443038,0.7083333333333334,0.6115107913669064,120
Random Forest,T cells,0.5414364640883977,0.4188034188034188,0.472289156626506,234
XGBoost,B cells,0.8767123287671232,0.9411764705882353,0.9078014184397163,204
XGBoost,CD4+ T cells,0.6979166666666666,0.5903083700440529,0.639618138424821,454
XGBoost,CD8+ T cells,0.4803921568627451,0.6533333333333333,0.5536723163841808,225
XGBoost,Dendritic cells,0.6363636363636364,0.6292134831460674,0.632768361581921,89
XGBoost,Monocytes,0.9767156862745098,0.9139908256880734,0.9443127962085308,872
XGBoost,NK cells,0.5895522388059702,0.6583333333333333,0.6220472440944882,120
XGBoost,T cells,0.5338645418326693,0.5726495726495726,0.5525773195876289,234
SVM,B cells,0.8888888888888888,0.9411764705882353,0.9142857142857143,204
SVM,CD4+ T cells,0.7061728395061728,0.6299559471365639,0.6658905704307334,454
SVM,CD8+ T cells,0.4840764331210191,0.6755555555555556,0.5640074211502782,225
SVM,Dendritic cells,0.5523809523809524,0.651685393258427,0.5979381443298969,89
SVM,Monocytes,0.9797211660329531,0.8864678899082569,0.9307645996387718,872
SVM,NK cells,0.5733333333333334,0.7166666666666667,0.6370370370370371,120
SVM,T cells,0.5799086757990868,0.5427350427350427,0.5607064017660044,234
