Rank,TF_motif,Importance
1,SPIC,0.5587870452241265
2,ZEB1,0.39325494527873095
3,FOS,0.37342607665553756
4,CEBPG(var.2),0.3678055905644554
5,ZBTB7A,0.24296568414955783
6,TCF4,0.2315759406460267
7,EOMES,0.22122925745123379
8,CTCF,0.2184952347617226
9,RUNX2,0.21322379201361136
10,HLF,0.21302901031868648
11,IRF1,0.2120602956449343
12,EHF,0.21159614397639206
13,MAF::NFE2,0.20647253874669605
14,FIGLA,0.20604922648693744
15,ATF7,0.20264854510223257
16,ZKSCAN5,0.20121428870587224
17,ELF5,0.19727181192059873
18,EBF1,0.19686067246160105
19,FOSL2::JUND(var.2),0.19247179713784143
20,PAX9,0.19030318742987157
