Rank,TF_motif,Importance
1,SPIC,0.058191135771046246
2,CEBPG(var.2),0.04552753501858816
3,HLF,0.043354016654209994
4,CEBPB,0.04187929295277041
5,EOMES,0.03811506162637474
6,POU2F3,0.036882994034348464
7,IRF1,0.033195379168429635
8,POU5F1,0.031579727557602424
9,STAT1::STAT2,0.03116810322455354
10,TBR1,0.027696674206203836
11,TBX21,0.027108430394172895
12,POU5F1B,0.026630235920659672
13,MAF::NFE2,0.026352862677837
14,FOS,0.026332146779391066
15,TBX2,0.025721813943960913
16,MAFK,0.022441233203923824
17,TCF7L2,0.019323068909024455
18,POU2F1,0.018870887150559516
19,EHF,0.017900713361275383
20,TCF4,0.01676045173681686
