Rank,TF_motif,Importance
1,TBX3,0.010164894752596788
2,FOS,0.008662220419351075
3,CREM,0.008610567846564244
4,ATF7,0.007891649098936315
5,ZIC5,0.007384854505825822
6,MAFK,0.006772908390737719
7,ZEB1,0.006434849843868373
8,ELF3,0.005899804041559431
9,PAX9,0.005651340778686009
10,FOSL1::JUN(var.2),0.005352830465037451
11,TBX4,0.004925037026935519
12,CEBPG(var.2),0.004836582759326124
13,RREB1,0.004768428450830586
14,RARA,0.00471902147266483
15,RUNX2,0.004716328098097455
16,TEF,0.004577104589654301
17,MEF2C,0.004470990385261353
18,NR2F1,0.004303205184161852
19,EGR4,0.0042652264116135544
20,ZSCAN4,0.004203190827433967
