TF_motif,Importance,Model
SPIC,0.5771651574744663,LogReg
ZEB1,0.36072262940453587,LogReg
FOS,0.3399644710614077,LogReg
CEBPG(var.2),0.3332996430137895,LogReg
ZBTB7A,0.2701284775202808,LogReg
ELF5,0.24092473167734468,LogReg
TCF4,0.23620533287473636,LogReg
EHF,0.22291070863795875,LogReg
MAFK,0.22251864055092105,LogReg
EBF1,0.21530282625503877,LogReg
ZKSCAN5,0.21312310630391834,LogReg
IRF1,0.20818532020365996,LogReg
FIGLA,0.2073488655196541,LogReg
HLF,0.20515046672027787,LogReg
CTCF,0.2049561937405327,LogReg
ATF7,0.20461968513007814,LogReg
MAF::NFE2,0.19624577241638788,LogReg
EOMES,0.19470524194121167,LogReg
CEBPB,0.19458464671584036,LogReg
RUNX2,0.1931463735740532,LogReg
SPIC,0.058191135771046246,Random Forest
CEBPG(var.2),0.04552753501858816,Random Forest
HLF,0.043354016654209994,Random Forest
CEBPB,0.04187929295277041,Random Forest
EOMES,0.03811506162637474,Random Forest
POU2F3,0.036882994034348464,Random Forest
IRF1,0.033195379168429635,Random Forest
POU5F1,0.031579727557602424,Random Forest
STAT1::STAT2,0.03116810322455354,Random Forest
TBR1,0.027696674206203836,Random Forest
TBX21,0.027108430394172895,Random Forest
POU5F1B,0.026630235920659672,Random Forest
MAF::NFE2,0.026352862677837,Random Forest
FOS,0.026332146779391066,Random Forest
TBX2,0.025721813943960913,Random Forest
MAFK,0.022441233203923824,Random Forest
TCF7L2,0.019323068909024455,Random Forest
POU2F1,0.018870887150559516,Random Forest
EHF,0.017900713361275383,Random Forest
TCF4,0.01676045173681686,Random Forest
POU2F3,0.08051539957523346,XGBoost
EOMES,0.059162091463804245,XGBoost
POU5F1,0.05260394886136055,XGBoost
TCF7L2,0.04735022783279419,XGBoost
CEBPG(var.2),0.04546811059117317,XGBoost
CEBPB,0.027225473895668983,XGBoost
POU5F1B,0.025124767795205116,XGBoost
SPIC,0.02341189607977867,XGBoost
TBX21,0.020020468160510063,XGBoost
TBX2,0.02001478150486946,XGBoost
EHF,0.01852930709719658,XGBoost
LEF1,0.016036899760365486,XGBoost
FOS,0.015950515866279602,XGBoost
POU2F1,0.01452755369246006,XGBoost
ZKSCAN5,0.014437534846365452,XGBoost
TBR1,0.011932247318327427,XGBoost
HLF,0.011822002939879894,XGBoost
ZEB1,0.010330933146178722,XGBoost
TCF7,0.009747968055307865,XGBoost
STAT1::STAT2,0.008843254297971725,XGBoost
ZKSCAN5,0.011692140168318033,SVM
NHLH1,0.008303575622960491,SVM
FOS,0.008113374294905417,SVM
RUNX2,0.005490428315333773,SVM
MAFK,0.005290611956527846,SVM
RREB1,0.0052169505605049295,SVM
MAF::NFE2,0.004982379012099703,SVM
ZNF135,0.004938946751722883,SVM
EWSR1-FLI1,0.0047425767594234,SVM
MEF2A,0.0047090443840081654,SVM
TBX4,0.004602614324941134,SVM
ASCL1(var.2),0.004144234588235207,SVM
ZBTB14,0.0041075689231924615,SVM
TBX18,0.00352901155463079,SVM
NR2C1,0.0033401772070580592,SVM
TCF4,0.003299777905948864,SVM
THRB(var.3),0.0032554222439444614,SVM
MYOD1,0.0031569000042095618,SVM
FOXO3,0.0028452678684808053,SVM
TBX3,0.0028434368950797984,SVM
