Cell_Type,TF_motif,Mean_in_class,Mean_other,Cohens_d,RankBiserial_AUC,p_value,n_in_class,FDR,Significant,Assoc_Strength
B cells,POU2F3,3.391728835335276,-0.3793167496948611,3.209730036358032,0.9704908924665309,0.0,818,0.0,True,3.209730036358032
B cells,POU5F1,3.2395269817559855,-0.3740795159065952,3.1112505589536092,0.9696164122640636,0.0,818,0.0,True,3.1112505589536092
B cells,POU5F1B,3.181683176137318,-0.3608925630954113,3.0266296703145654,0.9638821585801778,0.0,818,0.0,True,3.0266296703145654
B cells,POU2F2,3.009986605771225,-0.3463318831767484,2.9382461860189166,0.9583600859271851,0.0,818,0.0,True,2.9382461860189166
B cells,POU2F1,2.713399913352297,-0.30188199485055406,2.7633844393012086,0.954355475589063,0.0,818,0.0,True,2.7633844393012086
B cells,POU3F4,2.4414743960018646,-0.27153553909301786,2.429590653259225,0.9384491038417645,0.0,818,0.0,True,2.429590653259225
B cells,POU1F1,2.3505243255026333,-0.26155221294682385,2.4091410838792204,0.9320172896878179,0.0,818,0.0,True,2.4091410838792204
B cells,POU3F2,2.2759254043764825,-0.25494471086285575,2.341386754098635,0.9309068654054773,0.0,818,0.0,True,2.341386754098635
B cells,POU3F1,2.1957776713341928,-0.24218019182962489,2.300686583627142,0.928326351596233,0.0,818,0.0,True,2.300686583627142
B cells,POU3F3,1.794889082130982,-0.19703952376907197,1.97910409667672,0.9007484900498748,0.0,818,0.0,True,1.97910409667672
B cells,PAX9,1.7697583028026422,-0.20613186621696197,1.8840445896750457,0.8901501702047547,1.2664881694661054e-296,818,2.7549522223977754e-295,True,1.8840445896750457
B cells,SNAI1,2.5516519935951876,-0.3687300943388201,1.833219710600224,0.9199703437148729,0.0,818,0.0,True,1.833219710600224
B cells,NFKB2,2.0401498580705155,-0.200397068757841,1.7885234521409636,0.8847058257184259,1.8329153868198993e-288,818,3.822667863439852e-287,True,1.7885234521409636
B cells,SNAI3,2.37666621927098,-0.343646490056152,1.730525185710402,0.9072814887994785,0.0,818,0.0,True,1.730525185710402
B cells,SNAI2,2.3953113372302024,-0.33072668071822986,1.7049194341159086,0.9053339919530651,0.0,818,0.0,True,1.7049194341159086
B cells,FIGLA,1.9869500226135,-0.25790047861712523,1.6765522263735984,0.8962373434934933,6.965259698539121e-306,818,1.5921717932366826e-304,True,1.6765522263735984
B cells,PAX1,1.5526261843458742,-0.17017204273300413,1.6534361059159235,0.8643074711639234,6.608571142672699e-259,818,1.2321787485370388e-257,True,1.6534361059159235
B cells,EBF3,1.6825091146023736,-0.1603938796975545,1.6286154436948526,0.8679610016171138,4.4090692340785515e-264,818,8.414667038246142e-263,True,1.6286154436948526
B cells,NFKB1,1.7276138872502536,-0.1661172837673893,1.5747059059458497,0.8579800611154957,4.5902751057715215e-250,818,8.254334701311811e-249,True,1.5747059059458497
B cells,ASCL1(var.2),2.188675277293918,-0.370408140891687,1.5211421340309703,0.8868124583380093,1.315488132569261e-291,818,2.801297360197489e-290,True,1.5211421340309703
B cells,PAX6,1.378441756393928,-0.1571095876507133,1.4888049648065065,0.8434413678194965,2.465396352376487e-230,818,4.0060215428575365e-229,True,1.4888049648065065
B cells,MYOD1,1.8054638717993334,-0.2613935905913443,1.475482519891748,0.8691473143461973,8.967515784424434e-266,818,1.7195530267194911e-264,True,1.475482519891748
B cells,TCF4,2.2178747790991196,-0.3835031649016872,1.4379577863120696,0.8741211504627202,6.321708309788293e-273,818,1.2662193970991797e-271,True,1.4379577863120696
B cells,TCF12(var.2),2.24700058630667,-0.395245689752642,1.417610801615465,0.8712173058773532,9.724294810881196e-269,818,1.9007003287355227e-267,True,1.417610801615465
B cells,RELA,1.6926149198953293,-0.1504499406101391,1.3096760969610595,0.8101056428502658,3.5398830904095794e-188,818,4.475739682436612e-187,True,1.3096760969610595
B cells,STAT1::STAT2,2.056066699645308,-0.21512908394649097,1.2929037183823153,0.8393792662338418,5.734983722712095e-225,818,8.993699279881062e-224,True,1.2929037183823153
B cells,IRF9,1.6688497647373186,-0.19179560214881175,1.2717413694863122,0.8107555239123729,5.8634150444136095e-189,818,7.436795382350303e-188,True,1.2717413694863122
B cells,IRF1,1.8492475155265145,-0.19351008426675068,1.2496087509780798,0.8318673831762519,3.273122346799403e-215,818,4.941437692220293e-214,True,1.2496087509780798
B cells,IRF4,1.654906125854637,-0.18998739426890926,1.2460410095885568,0.8012588896799685,1.038103035356859e-177,818,1.2389866905763571e-176,True,1.2460410095885568
B cells,EBF1,1.2094257984847099,-0.11576715413043132,1.2207187930363725,0.79696574993423,9.702055516986442e-173,818,1.1345236017840217e-171,True,1.2207187930363725
B cells,NHLH2,1.1946748356861634,-0.1946269728317896,1.1744494441812354,0.813392915729176,3.824370124012998e-192,818,4.9753702642304146e-191,True,1.1744494441812354
B cells,ZEB1,1.7992876285102417,-0.34459537747584945,1.1732559522307542,0.8230180237360665,5.356987999161777e-204,818,7.525824112711302e-203,True,1.1732559522307542
B cells,IRF3,1.4354807671564407,-0.1622452915833559,1.1696222696135155,0.8032499265645131,4.862394441526823e-180,818,5.925677081451062e-179,True,1.1696222696135155
B cells,IRF8,1.581705334151139,-0.17791458144977595,1.1694684291527777,0.7889297000091373,1.2582859727816903e-163,818,1.3722439476751264e-162,True,1.1694684291527777
B cells,ASCL1,1.1866218898572989,-0.18301237982385943,1.16817159271269,0.8177987383200781,1.5887072579851796e-197,818,2.1426365219360123e-196,True,1.16817159271269
B cells,IRF2,1.335324266124214,-0.16557673584175672,1.1628703741785331,0.7904187999752251,2.6912476517747104e-165,818,2.9750786882733548e-164,True,1.1628703741785331
B cells,NHLH1,1.1768934759821652,-0.18313534545997462,1.1374096952468247,0.8136552291279175,1.837614363693013e-192,818,2.3983831340328812e-191,True,1.1374096952468247
B cells,MEF2D,1.3076023946714053,-0.13624744793282728,1.1302573034445955,0.8017177464902743,3.0252664927865134e-178,818,3.6321152017252917e-177,True,1.1302573034445955
B cells,MSC,1.0804468285622946,-0.14082140521878211,1.0905929546648128,0.7924700876871839,1.3052401156225912e-167,818,1.4792721310389365e-166,True,1.0905929546648128
B cells,REL,1.450312890247655,-0.11094101861289675,1.0824149654676642,0.777370433125261,5.899195098054375e-151,818,5.937349096200995e-150,True,1.0824149654676642
B cells,MEF2A,1.069781523566961,-0.10726405859630585,1.0722482573780558,0.7894287240377191,3.476519479282862e-164,818,3.822282014450668e-163,True,1.0722482573780558
B cells,MEF2B,1.3088648938213034,-0.13020606583925515,1.0401002035926352,0.7864713742646486,6.8822263175474845e-161,818,7.366531132486011e-160,True,1.0401002035926352
