Cell_Type,TF_motif,Cohens_d,RankBiserial_AUC,FDR,n_in_class
B cells,POU2F3,3.209730036358032,0.9704908924665309,0.0,818
B cells,POU5F1,3.1112505589536092,0.9696164122640636,0.0,818
B cells,POU5F1B,3.0266296703145654,0.9638821585801778,0.0,818
B cells,POU2F2,2.9382461860189166,0.9583600859271851,0.0,818
B cells,POU2F1,2.7633844393012086,0.954355475589063,0.0,818
B cells,POU3F4,2.429590653259225,0.9384491038417645,0.0,818
B cells,POU1F1,2.4091410838792204,0.9320172896878179,0.0,818
B cells,POU3F2,2.341386754098635,0.9309068654054773,0.0,818
B cells,POU3F1,2.300686583627142,0.928326351596233,0.0,818
B cells,POU3F3,1.97910409667672,0.9007484900498748,0.0,818
CD4+ T cells,TCF7,1.3517533192406281,0.8455780909321216,0.0,1818
CD4+ T cells,TCF7L2,1.3281250789094776,0.8454708246849921,0.0,1818
CD4+ T cells,LEF1,1.264597881633556,0.8335537023733919,0.0,1818
CD4+ T cells,CTCF,1.1669998441000116,0.8175412178441819,0.0,1818
CD4+ T cells,TCF7L1,1.0776423632518064,0.7953628170388016,0.0,1818
CD4+ T cells,ZEB1,0.9714447794584221,0.768517940122088,5.6238510219692776e-272,1818
CD4+ T cells,CTCFL,0.9005544544119576,0.750918782730008,1.127221999055492e-237,1818
CD4+ T cells,TCF4,0.8683728838144982,0.7531084338717784,8.141786623701855e-242,1818
CD4+ T cells,EGR1,0.8676289050351145,0.7443218296593066,2.0615132781575975e-225,1818
CD4+ T cells,TCF12(var.2),0.8550911847450771,0.7465916149974618,1.3558843995162307e-229,1818
CD8+ T cells,TCF7L2,1.3716158034995156,0.8561005708713957,1.8232930296089185e-267,898
CD8+ T cells,LEF1,1.3365753803823832,0.8512867882516845,2.521376742325258e-260,898
CD8+ T cells,TCF7,1.2281855122764729,0.8325744849771725,1.8118949159864625e-233,898
CD8+ T cells,TCF7L1,1.030273214311514,0.7823032970827835,1.2546828645761523e-168,898
CD8+ T cells,EGR1,0.9254737764561729,0.7640170172378672,1.1173510828374469e-147,898
CD8+ T cells,CTCF,0.9220919454159794,0.7719658808838491,1.2956868191925292e-156,898
CD8+ T cells,ZEB1,0.9175719343410892,0.7628110323704451,2.414129423148052e-146,898
CD8+ T cells,SOX10,0.892921506217072,0.7460849575359031,1.7487375950624525e-128,898
CD8+ T cells,TCFL5,0.8670778607004984,0.7456157674939045,5.30221369792223e-128,898
