Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
LogReg,ATF7,Monocytes,1.2751742728947812,0.8177861544542323,0.0
LogReg,CEBPB,Monocytes,3.269171397638133,0.9793144770555795,0.0
LogReg,CEBPG(var.2),Monocytes,3.4687042129253687,0.9835859767128899,0.0
LogReg,CTCF,CD4+ T cells,1.1669998441000116,0.8175412178441819,0.0
LogReg,CTCF,CD8+ T cells,0.9220919454159794,0.7719658808838491,1.2956868191925292e-156
LogReg,CTCF,T cells,0.6183518075397106,0.6770438704135895,1.3908140837220457e-69
LogReg,EBF1,B cells,1.2207187930363725,0.79696574993423,1.1345236017840217e-171
LogReg,EBF1,Monocytes,0.5493199352471655,0.6698716426027287,1.8867085532650976e-159
LogReg,EHF,Dendritic cells,0.957585094662459,0.7501151033258935,6.905273667313806e-57
LogReg,EHF,Monocytes,1.9377907048813279,0.9173711382023522,0.0
LogReg,ELF5,Dendritic cells,0.8258320994498379,0.722988112388924,1.635489199605485e-45
LogReg,ELF5,Monocytes,1.6048666270616128,0.8757529320754699,0.0
LogReg,EOMES,NK cells,2.3831508223627638,0.9426486221369703,2.4983021095717958e-232
LogReg,EOMES,T cells,1.4834258498347008,0.827803675185927,4.760628017962673e-235
LogReg,FIGLA,B cells,1.6765522263735984,0.8962373434934933,1.5921717932366826e-304
LogReg,FIGLA,CD4+ T cells,0.5910609927682119,0.6905037506905265,1.290189453411621e-137
LogReg,FOS,Monocytes,2.292394649094624,0.9413029835910572,0.0
LogReg,HLF,Monocytes,3.094644052017931,0.9757644064070982,0.0
LogReg,IRF1,B cells,1.2496087509780798,0.8318673831762519,4.941437692220293e-214
LogReg,IRF1,Dendritic cells,1.0342909827671154,0.7770117206736925,1.8658521505618694e-69
LogReg,IRF1,Monocytes,1.132459732772574,0.8043771305274674,0.0
LogReg,MAF::NFE2,Monocytes,2.6702493144106154,0.9623274938551792,0.0
LogReg,MAFK,Monocytes,2.5726940654572843,0.9577972136993467,0.0
LogReg,RUNX2,CD4+ T cells,0.8381594213645363,0.7366535549453999,1.4321016612609075e-211
LogReg,RUNX2,CD8+ T cells,0.6779383218547549,0.7037403446444905,1.612786596144486e-88
LogReg,RUNX2,NK cells,0.6310853188776583,0.6836596954188261,3.4036979814856657e-41
LogReg,RUNX2,T cells,0.9525185470524253,0.7688346302455864,1.4318095744209047e-158
LogReg,SPIC,Dendritic cells,0.9127696799470713,0.7507651574970744,3.5568707094237465e-57
LogReg,SPIC,Monocytes,2.26285544770948,0.9309358195718371,0.0
LogReg,TCF4,B cells,1.4379577863120696,0.8741211504627202,1.2662193970991797e-271
LogReg,TCF4,CD4+ T cells,0.8683728838144982,0.7531084338717784,8.141786623701855e-242
LogReg,TCF4,CD8+ T cells,0.7980680899225766,0.739314288487267,1.3621069162978243e-121
LogReg,ZBTB7A,CD8+ T cells,0.5493623983468889,0.6626437546940165,6.229566411799004e-57
LogReg,ZBTB7A,NK cells,1.1961523705687187,0.8060376295195768,8.136628073686856e-112
LogReg,ZBTB7A,T cells,0.8809811214056589,0.7461807618670364,3.295934815279225e-133
LogReg,ZEB1,B cells,1.1732559522307542,0.8230180237360665,7.525824112711302e-203
LogReg,ZEB1,CD4+ T cells,0.9714447794584221,0.768517940122088,5.6238510219692776e-272
LogReg,ZEB1,CD8+ T cells,0.9175719343410892,0.7628110323704451,2.414129423148052e-146
LogReg,ZKSCAN5,Dendritic cells,1.2140226210119542,0.7954189043231774,8.63054782562233e-79
LogReg,ZKSCAN5,Monocytes,1.2480938605071314,0.824894727196009,0.0
