Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
Random Forest,CEBPB,Monocytes,3.269171397638133,0.9793144770555795,0.0
Random Forest,CEBPG(var.2),Monocytes,3.4687042129253687,0.9835859767128899,0.0
Random Forest,EHF,Dendritic cells,0.957585094662459,0.7501151033258935,6.905273667313806e-57
Random Forest,EHF,Monocytes,1.9377907048813279,0.9173711382023522,0.0
Random Forest,EOMES,NK cells,2.3831508223627638,0.9426486221369703,2.4983021095717958e-232
Random Forest,EOMES,T cells,1.4834258498347008,0.827803675185927,4.760628017962673e-235
Random Forest,FOS,Monocytes,2.292394649094624,0.9413029835910572,0.0
Random Forest,HLF,Monocytes,3.094644052017931,0.9757644064070982,0.0
Random Forest,IRF1,B cells,1.2496087509780798,0.8318673831762519,4.941437692220293e-214
Random Forest,IRF1,Dendritic cells,1.0342909827671154,0.7770117206736925,1.8658521505618694e-69
Random Forest,IRF1,Monocytes,1.132459732772574,0.8043771305274674,0.0
Random Forest,MAF::NFE2,Monocytes,2.6702493144106154,0.9623274938551792,0.0
Random Forest,MAFK,Monocytes,2.5726940654572843,0.9577972136993467,0.0
Random Forest,POU2F1,B cells,2.7633844393012086,0.954355475589063,0.0
Random Forest,POU2F3,B cells,3.209730036358032,0.9704908924665309,0.0
Random Forest,POU5F1,B cells,3.1112505589536092,0.9696164122640636,0.0
Random Forest,POU5F1B,B cells,3.0266296703145654,0.9638821585801778,0.0
Random Forest,SPIC,Dendritic cells,0.9127696799470713,0.7507651574970744,3.5568707094237465e-57
Random Forest,SPIC,Monocytes,2.26285544770948,0.9309358195718371,0.0
Random Forest,STAT1::STAT2,B cells,1.2929037183823153,0.8393792662338418,8.993699279881062e-224
Random Forest,STAT1::STAT2,Dendritic cells,1.1231325377166326,0.7905396584795009,2.9524803941940807e-76
Random Forest,STAT1::STAT2,Monocytes,0.9473701310549595,0.7758033964345906,0.0
Random Forest,TBR1,NK cells,2.2798678143794078,0.9404210574427909,5.175647592092259e-230
Random Forest,TBR1,T cells,1.4066010588604787,0.8225406140101915,1.3085804291799476e-227
Random Forest,TBX2,NK cells,2.1978200675078337,0.9420423829969761,1.065535174822882e-231
Random Forest,TBX2,T cells,1.4834858696479571,0.8406380359078964,1.0469938543564257e-253
Random Forest,TBX21,NK cells,2.2936074491517706,0.9420803043350618,9.766613206323252e-232
Random Forest,TBX21,T cells,1.448981404977026,0.8344000615276136,1.5127057027598644e-244
Random Forest,TCF4,B cells,1.4379577863120696,0.8741211504627202,1.2662193970991797e-271
Random Forest,TCF4,CD4+ T cells,0.8683728838144982,0.7531084338717784,8.141786623701855e-242
Random Forest,TCF4,CD8+ T cells,0.7980680899225766,0.739314288487267,1.3621069162978243e-121
Random Forest,TCF7L2,CD4+ T cells,1.3281250789094776,0.8454708246849921,0.0
Random Forest,TCF7L2,CD8+ T cells,1.3716158034995156,0.8561005708713957,1.8232930296089185e-267
