Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
XGBoost,CEBPB,Monocytes,3.269171397638133,0.9793144770555795,0.0
XGBoost,CEBPG(var.2),Monocytes,3.4687042129253687,0.9835859767128899,0.0
XGBoost,EHF,Dendritic cells,0.957585094662459,0.7501151033258935,6.905273667313806e-57
XGBoost,EHF,Monocytes,1.9377907048813279,0.9173711382023522,0.0
XGBoost,EOMES,NK cells,2.3831508223627638,0.9426486221369703,2.4983021095717958e-232
XGBoost,EOMES,T cells,1.4834258498347008,0.827803675185927,4.760628017962673e-235
XGBoost,FOS,Monocytes,2.292394649094624,0.9413029835910572,0.0
XGBoost,HLF,Monocytes,3.094644052017931,0.9757644064070982,0.0
XGBoost,LEF1,CD4+ T cells,1.264597881633556,0.8335537023733919,0.0
XGBoost,LEF1,CD8+ T cells,1.3365753803823832,0.8512867882516845,2.521376742325258e-260
XGBoost,POU2F1,B cells,2.7633844393012086,0.954355475589063,0.0
XGBoost,POU2F3,B cells,3.209730036358032,0.9704908924665309,0.0
XGBoost,POU5F1,B cells,3.1112505589536092,0.9696164122640636,0.0
XGBoost,POU5F1B,B cells,3.0266296703145654,0.9638821585801778,0.0
XGBoost,SPIC,Dendritic cells,0.9127696799470713,0.7507651574970744,3.5568707094237465e-57
XGBoost,SPIC,Monocytes,2.26285544770948,0.9309358195718371,0.0
XGBoost,STAT1::STAT2,B cells,1.2929037183823153,0.8393792662338418,8.993699279881062e-224
XGBoost,STAT1::STAT2,Dendritic cells,1.1231325377166326,0.7905396584795009,2.9524803941940807e-76
XGBoost,STAT1::STAT2,Monocytes,0.9473701310549595,0.7758033964345906,0.0
XGBoost,TBR1,NK cells,2.2798678143794078,0.9404210574427909,5.175647592092259e-230
XGBoost,TBR1,T cells,1.4066010588604787,0.8225406140101915,1.3085804291799476e-227
XGBoost,TBX2,NK cells,2.1978200675078337,0.9420423829969761,1.065535174822882e-231
XGBoost,TBX2,T cells,1.4834858696479571,0.8406380359078964,1.0469938543564257e-253
XGBoost,TBX21,NK cells,2.2936074491517706,0.9420803043350618,9.766613206323252e-232
XGBoost,TBX21,T cells,1.448981404977026,0.8344000615276136,1.5127057027598644e-244
XGBoost,TCF7,CD4+ T cells,1.3517533192406281,0.8455780909321216,0.0
XGBoost,TCF7,CD8+ T cells,1.2281855122764729,0.8325744849771725,1.8118949159864625e-233
XGBoost,TCF7L2,CD4+ T cells,1.3281250789094776,0.8454708246849921,0.0
XGBoost,TCF7L2,CD8+ T cells,1.3716158034995156,0.8561005708713957,1.8232930296089185e-267
XGBoost,ZEB1,B cells,1.1732559522307542,0.8230180237360665,7.525824112711302e-203
XGBoost,ZEB1,CD4+ T cells,0.9714447794584221,0.768517940122088,5.6238510219692776e-272
XGBoost,ZEB1,CD8+ T cells,0.9175719343410892,0.7628110323704451,2.414129423148052e-146
XGBoost,ZKSCAN5,Dendritic cells,1.2140226210119542,0.7954189043231774,8.63054782562233e-79
XGBoost,ZKSCAN5,Monocytes,1.2480938605071314,0.824894727196009,0.0
