Model,Train_Size,Train_BalAcc,CV_BalAcc,Gap
LogReg,586,0.9625257214489481,0.6483664026790567,0.31415931876989145
LogReg,1641,0.8775198808401149,0.6716113394758688,0.20590854136424608
LogReg,2696,0.8402498573549169,0.6829418179486959,0.15730803940622096
LogReg,3751,0.8192653444759221,0.6942711349231606,0.12499420955276153
LogReg,4806,0.8075610159974326,0.7041672530052187,0.10339376299221392
LogReg,5861,0.795632778528128,0.706791634597641,0.08884114393048692
Random Forest,586,0.8563917706542289,0.6604713795912631,0.19592039106296577
Random Forest,1641,0.8065378857369098,0.6719842747450978,0.13455361099181196
Random Forest,2696,0.790821906667837,0.6808641551727975,0.1099577514950395
Random Forest,3751,0.7773563625425942,0.686944237068162,0.09041212547443223
Random Forest,4806,0.7613168731184662,0.6914030654061311,0.06991380771233513
Random Forest,5861,0.7513980544167626,0.6906918661555683,0.06070618826119423
XGBoost,586,0.9981744006004724,0.6321104207728387,0.3660639798276336
XGBoost,1641,0.995421109999477,0.6666932462265512,0.32872786377292573
XGBoost,2696,0.9838313533494164,0.6823114866465433,0.3015198667028731
XGBoost,3751,0.9667842403104263,0.6989012288114272,0.26788301149899907
XGBoost,4806,0.9501142777006092,0.7102866222486642,0.23982765545194495
XGBoost,5861,0.9318254325757144,0.7124694138013332,0.21935601877438116
SVM,586,0.9036843690990665,0.6664088655702464,0.2372755035288201
SVM,1641,0.8554554534482,0.6928144984859791,0.16264095496222086
SVM,2696,0.8483036901945399,0.7102249212998523,0.13807876889468762
SVM,3751,0.8478540384508744,0.7163632517933521,0.13149078665752223
SVM,4806,0.84559304652799,0.720896428998699,0.12469661752929107
SVM,5861,0.8392414856905619,0.7237266249243272,0.11551486076623474
