feature,importance,feature_type
SLC8A1,0.3368478093545646,RNA
LYN,0.2821030732367269,RNA
BANK1,0.11805220827050895,RNA
THEMIS,0.04783621026880611,RNA
NKG7,0.046030095109607,RNA
BCL11B,0.018056992521464022,RNA
PLXDC2,0.014354741764570376,RNA
LRMDA,0.012215071408819266,RNA
JCHAIN,0.00854144094597866,RNA
ITK,0.008301953537803167,RNA
VCAN.AS1,0.006291709559642704,RNA
TRAC,0.006098202358661313,RNA
CST7,0.005237209878485809,RNA
C1orf21,0.005094032414651537,RNA
NIBAN3,0.005041794397713468,RNA
AIF1,0.004358148248636903,RNA
chr6.37168901.37172986,0.003430604119053665,ATAC
LEF1,0.003427478666345985,RNA
HDAC9,0.002719014460346033,RNA
chr6.32194925.32197881,0.0025314717967536717,ATAC
