Rank,TF_motif,Importance
1,SPIC,0.06885689001693038
2,CEBPG(var.2),0.04650141846229998
3,CEBPB,0.04518453361411873
4,HLF,0.0395335257311737
5,POU5F1,0.03642843338951269
6,EOMES,0.035904911060209495
7,IRF1,0.03283269990821747
8,POU2F3,0.03251550717627189
9,STAT1::STAT2,0.028834358523296463
10,MAF::NFE2,0.02856626621584697
11,FOS,0.027939314767247567
12,TBX21,0.02671198903006371
13,TBR1,0.02648983844129996
14,ZEB1,0.024122834142696583
15,TBX2,0.024011930718201242
16,POU5F1B,0.020393061438728523
17,TCF7L2,0.020338185853447176
18,POU2F2,0.020173012144617936
19,MAFK,0.016399620474065058
20,TBX20,0.015830385593533322
