TF_motif,Importance,Model
SPIC,0.5587870452241265,LogReg
ZEB1,0.39325494527873095,LogReg
FOS,0.37342607665553756,LogReg
CEBPG(var.2),0.3678055905644554,LogReg
ZBTB7A,0.24296568414955783,LogReg
TCF4,0.2315759406460267,LogReg
EOMES,0.22122925745123379,LogReg
CTCF,0.2184952347617226,LogReg
RUNX2,0.21322379201361136,LogReg
HLF,0.21302901031868648,LogReg
IRF1,0.2120602956449343,LogReg
EHF,0.21159614397639206,LogReg
MAF::NFE2,0.20647253874669605,LogReg
FIGLA,0.20604922648693744,LogReg
ATF7,0.20264854510223257,LogReg
ZKSCAN5,0.20121428870587224,LogReg
ELF5,0.19727181192059873,LogReg
EBF1,0.19686067246160105,LogReg
FOSL2::JUND(var.2),0.19247179713784143,LogReg
PAX9,0.19030318742987157,LogReg
SPIC,0.06885689001693038,Random Forest
CEBPG(var.2),0.04650141846229998,Random Forest
CEBPB,0.04518453361411873,Random Forest
HLF,0.0395335257311737,Random Forest
POU5F1,0.03642843338951269,Random Forest
EOMES,0.035904911060209495,Random Forest
IRF1,0.03283269990821747,Random Forest
POU2F3,0.03251550717627189,Random Forest
STAT1::STAT2,0.028834358523296463,Random Forest
MAF::NFE2,0.02856626621584697,Random Forest
FOS,0.027939314767247567,Random Forest
TBX21,0.02671198903006371,Random Forest
TBR1,0.02648983844129996,Random Forest
ZEB1,0.024122834142696583,Random Forest
TBX2,0.024011930718201242,Random Forest
POU5F1B,0.020393061438728523,Random Forest
TCF7L2,0.020338185853447176,Random Forest
POU2F2,0.020173012144617936,Random Forest
MAFK,0.016399620474065058,Random Forest
TBX20,0.015830385593533322,Random Forest
CEBPG(var.2),0.10657665133476257,XGBoost
POU5F1,0.0684300884604454,XGBoost
EOMES,0.06789833307266235,XGBoost
POU2F3,0.05676625296473503,XGBoost
CEBPB,0.046050507575273514,XGBoost
TCF7L2,0.04183004051446915,XGBoost
SPIC,0.030596867203712463,XGBoost
TBX2,0.028751444071531296,XGBoost
TBX21,0.01845444366335869,XGBoost
FOS,0.0173709187656641,XGBoost
TBR1,0.013829919509589672,XGBoost
HLF,0.013390844687819481,XGBoost
LEF1,0.012426359578967094,XGBoost
POU5F1B,0.011167481541633606,XGBoost
STAT1::STAT2,0.010575277730822563,XGBoost
ASCL1,0.010208404622972012,XGBoost
ZEB1,0.008480344898998737,XGBoost
SNAI1,0.008211315609514713,XGBoost
ZKSCAN5,0.00795810017734766,XGBoost
EHF,0.007822162471711636,XGBoost
TBX3,0.010164894752596788,SVM
FOS,0.008662220419351075,SVM
CREM,0.008610567846564244,SVM
ATF7,0.007891649098936315,SVM
ZIC5,0.007384854505825822,SVM
MAFK,0.006772908390737719,SVM
ZEB1,0.006434849843868373,SVM
ELF3,0.005899804041559431,SVM
PAX9,0.005651340778686009,SVM
FOSL1::JUN(var.2),0.005352830465037451,SVM
TBX4,0.004925037026935519,SVM
CEBPG(var.2),0.004836582759326124,SVM
RREB1,0.004768428450830586,SVM
RARA,0.00471902147266483,SVM
RUNX2,0.004716328098097455,SVM
TEF,0.004577104589654301,SVM
MEF2C,0.004470990385261353,SVM
NR2F1,0.004303205184161852,SVM
EGR4,0.0042652264116135544,SVM
ZSCAN4,0.004203190827433967,SVM
