Cell_Type,TF_motif,Cohens_d,RankBiserial_AUC,FDR,n_in_class
B cells,POU2F3,3.19099499289173,0.9708769542192676,0.0,818
B cells,POU5F1,3.0987827705167583,0.9698752544115117,0.0,818
B cells,POU5F1B,2.980311350403526,0.9629696129081126,0.0,818
B cells,POU2F2,2.8876343969285116,0.9575374652287657,0.0,818
B cells,POU2F1,2.6984939111817843,0.9521211104592916,0.0,818
B cells,POU3F4,2.391508471446686,0.9366531052080723,0.0,818
B cells,POU1F1,2.366552654493433,0.9303331813329645,0.0,818
B cells,POU3F2,2.2741786933030927,0.9273012492958356,0.0,818
B cells,POU3F1,2.2359266622633927,0.9248165492522594,0.0,818
B cells,POU3F3,1.9342952787456777,0.8969534096892415,1.2718359076979106e-305,818
CD4+ T cells,TCF7,1.3519102979422688,0.8459766312211315,0.0,1818
CD4+ T cells,TCF7L2,1.3240054143485482,0.8445380318900957,0.0,1818
CD4+ T cells,LEF1,1.261387840879938,0.8334324899577294,0.0,1818
CD4+ T cells,CTCF,1.163383455829757,0.8167560338423058,0.0,1818
CD4+ T cells,TCF7L1,1.0843888014949072,0.7965339198483163,0.0,1818
CD4+ T cells,ZEB1,0.9730663798337906,0.7690693492122768,4.378154419841406e-273,1818
CD4+ T cells,CTCFL,0.8977059221077832,0.7496924724739791,2.3515499701201807e-235,1818
CD4+ T cells,TCF4,0.875188744503097,0.7546886410998765,8.158318691305667e-245,1818
CD4+ T cells,EGR1,0.8707676082005835,0.745345988779288,2.73236346772974e-227,1818
CD4+ T cells,TCF12(var.2),0.8569894123614719,0.7470804014289282,1.725151875542258e-230,1818
CD8+ T cells,TCF7L2,1.3689546869773384,0.8559195272403136,3.4302522092266745e-267,898
CD8+ T cells,LEF1,1.3379952699771582,0.8514753423926983,1.3440890899454351e-260,898
CD8+ T cells,TCF7,1.2228153676167552,0.8320428267047258,1.0179883656824542e-232,898
CD8+ T cells,TCF7L1,1.0337595663807349,0.782849509742923,2.819444602062479e-169,898
CD8+ T cells,EGR1,0.9257450100487985,0.764570648007298,2.725732070205278e-148,898
CD8+ T cells,ZEB1,0.9175959547436406,0.7627293446280528,2.963589806743606e-146,898
CD8+ T cells,CTCF,0.9157291137432203,0.7703583875312257,8.834897139286509e-155,898
CD8+ T cells,SOX10,0.8858335520098117,0.7442580426342644,1.3300146064681942e-126,898
CD8+ T cells,TCFL5,0.860090110910187,0.7442762426293547,1.2766535594164204e-126,898
CD8+ T cells,EGR3,0.8439752406236827,0.740873972229347,3.695747612604679e-123,898
Dendritic cells,ZKSCAN5,1.2157875093824742,0.7947962788585472,1.8210410525382657e-78,355
Dendritic cells,BHLHA15(var.2),1.1322559106764905,0.657197857605567,2.40207754721455e-23,355
Dendritic cells,STAT1::STAT2,1.1258140778596986,0.7917235990623686,7.203447839360918e-77,355
Dendritic cells,MYF5,1.0782934252042815,0.6686941945652102,1.1446610249411389e-26,355
Dendritic cells,BHLHE22(var.2),1.059230863514661,0.6503122099119134,1.823330493832284e-21,355
Dendritic cells,IRF1,1.0297986837137934,0.7772641062114747,1.4128842468535876e-69,355
Dendritic cells,MYOG,1.0033685743604253,0.6139038593819913,6.542126896725963e-13,355
Dendritic cells,TAL1::TCF3,0.9742151180315977,0.6696254816714416,6.034464561534027e-27,355
Dendritic cells,ATOH1(var.2),0.9716126257422026,0.6467890796652843,1.5549997635482674e-20,355
Dendritic cells,ZBTB18,0.9609873452873386,0.6718757304376282,1.257236026113607e-27,355
Monocytes,CEBPG(var.2),3.4422759821470756,0.9830079844886138,0.0,3488
Monocytes,CEBPB,3.233843362568636,0.9784411022322487,0.0,3488
Monocytes,HLF,3.0607968742203027,0.974517734465691,0.0,3488
Monocytes,MAF::NFE2,2.6616090505167356,0.9620395111301029,0.0,3488
Monocytes,MAFK,2.54937202476421,0.9567490467573314,0.0,3488
Monocytes,JUN,2.4104677555785545,0.9485274368671359,0.0,3488
Monocytes,FOS,2.2851987680544066,0.9410249218462113,0.0,3488
Monocytes,SPIC,2.2580233018953715,0.9302219554622881,0.0,3488
Monocytes,TEF,2.1648467578163704,0.933753527084375,0.0,3488
Monocytes,DBP,2.0399852444166355,0.9221442077965216,0.0,3488
NK cells,EOMES,2.359682372087439,0.9416591652082358,2.7190904503376885e-231,479
NK cells,TBX21,2.265257863972398,0.9403523542188671,6.122689432107724e-230,479
NK cells,TBR1,2.2517338041023214,0.9390922599014228,1.2369684472325358e-228,479
NK cells,TBX20,2.20938955979861,0.9328299653794297,3.360016492262832e-222,479
NK cells,TBX2,2.1845588872612334,0.9416056670839353,3.0792481154726006e-231,479
NK cells,TBX1,1.7963520940109694,0.9043016510576052,4.647449158750159e-194,479
NK cells,TBX6,1.7787659208684976,0.9011131126163144,4.863449372557423e-191,479
NK cells,TBX3,1.6590196322700486,0.8802596442299384,7.814522158930673e-172,479
NK cells,MGA,1.6424692455187744,0.880495236908783,4.8127668527246143e-172,479
NK cells,TBX18,1.6205323112084533,0.882004486809824,2.133208588317747e-173,479
T cells,EOMES,1.4775404294202843,0.8259030190487601,2.4447457749917847e-232,935
T cells,TBX2,1.4695195311791722,0.8386181208272978,1.0209000418046875e-250,935
T cells,TBX21,1.448554604342232,0.833384885151987,4.5335319195983116e-243,935
T cells,TBR1,1.3869920043429484,0.8189909003779257,1.1803686350279334e-222,935
T cells,TBX20,1.328795323224563,0.8155307568315235,6.968527057210924e-218,935
T cells,TBX1,1.3120136072862334,0.8078889257980548,1.5953011372559935e-207,935
T cells,TBX6,1.2945844993145583,0.8068322042758966,4.1100875595646893e-206,935
T cells,TBX4,1.277702830032005,0.8225504263916268,1.276670272955078e-227,935
T cells,TBX3,1.2416699380535168,0.8002566245902175,1.9490361140437337e-197,935
T cells,TBX18,1.1891300091954946,0.7950547011991244,1.0351220604080114e-190,935
