Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
Random Forest,CEBPB,Monocytes,3.233843362568636,0.9784411022322487,0.0
Random Forest,CEBPG(var.2),Monocytes,3.4422759821470756,0.9830079844886138,0.0
Random Forest,EOMES,NK cells,2.359682372087439,0.9416591652082358,2.7190904503376885e-231
Random Forest,EOMES,T cells,1.4775404294202843,0.8259030190487601,2.4447457749917847e-232
Random Forest,FOS,Monocytes,2.2851987680544066,0.9410249218462113,0.0
Random Forest,HLF,Monocytes,3.0607968742203027,0.974517734465691,0.0
Random Forest,IRF1,B cells,1.2477545338068996,0.8308649884067775,9.378666355532386e-213
Random Forest,IRF1,Dendritic cells,1.0297986837137934,0.7772641062114747,1.4128842468535876e-69
Random Forest,IRF1,Monocytes,1.1292829452161255,0.8039057864079013,0.0
Random Forest,MAF::NFE2,Monocytes,2.6616090505167356,0.9620395111301029,0.0
Random Forest,MAFK,Monocytes,2.54937202476421,0.9567490467573314,0.0
Random Forest,POU2F2,B cells,2.8876343969285116,0.9575374652287657,0.0
Random Forest,POU2F3,B cells,3.19099499289173,0.9708769542192676,0.0
Random Forest,POU5F1,B cells,3.0987827705167583,0.9698752544115117,0.0
Random Forest,POU5F1B,B cells,2.980311350403526,0.9629696129081126,0.0
Random Forest,SPIC,Dendritic cells,0.9133780664127179,0.7509837116582854,2.871948404709158e-57
Random Forest,SPIC,Monocytes,2.2580233018953715,0.9302219554622881,0.0
Random Forest,STAT1::STAT2,B cells,1.289043211453717,0.8376102475438959,1.863716861695175e-221
Random Forest,STAT1::STAT2,Dendritic cells,1.1258140778596986,0.7917235990623686,7.203447839360918e-77
Random Forest,STAT1::STAT2,Monocytes,0.9390745508388485,0.7742817917675126,0.0
Random Forest,TBR1,NK cells,2.2517338041023214,0.9390922599014228,1.2369684472325358e-228
Random Forest,TBR1,T cells,1.3869920043429484,0.8189909003779257,1.1803686350279334e-222
Random Forest,TBX2,NK cells,2.1845588872612334,0.9416056670839353,3.0792481154726006e-231
Random Forest,TBX2,T cells,1.4695195311791722,0.8386181208272978,1.0209000418046875e-250
Random Forest,TBX20,NK cells,2.20938955979861,0.9328299653794297,3.360016492262832e-222
Random Forest,TBX20,T cells,1.328795323224563,0.8155307568315235,6.968527057210924e-218
Random Forest,TBX21,NK cells,2.265257863972398,0.9403523542188671,6.122689432107724e-230
Random Forest,TBX21,T cells,1.448554604342232,0.833384885151987,4.5335319195983116e-243
Random Forest,TCF7L2,CD4+ T cells,1.3240054143485482,0.8445380318900957,0.0
Random Forest,TCF7L2,CD8+ T cells,1.3689546869773384,0.8559195272403136,3.4302522092266745e-267
Random Forest,ZEB1,B cells,1.1626902024528043,0.8203761963129229,1.4471679301253886e-199
Random Forest,ZEB1,CD4+ T cells,0.9730663798337906,0.7690693492122768,4.378154419841406e-273
Random Forest,ZEB1,CD8+ T cells,0.9175959547436406,0.7627293446280528,2.963589806743606e-146
Random Forest,ZEB1,T cells,0.5013108673544376,0.6379970484768616,7.608938027179373e-43
