Model,TF_motif,Cell_Type,Cohens_d,RankBiserial_AUC,FDR
XGBoost,ASCL1,B cells,1.1620383415207438,0.8153627907390376,2.0449597087113475e-193
XGBoost,ASCL1,Dendritic cells,0.9477222343248888,0.6230077000647793,7.861520338856382e-15
XGBoost,CEBPB,Monocytes,3.233843362568636,0.9784411022322487,0.0
XGBoost,CEBPG(var.2),Monocytes,3.4422759821470756,0.9830079844886138,0.0
XGBoost,EHF,Dendritic cells,0.9566794310042614,0.7500821429286959,7.222128508983397e-57
XGBoost,EHF,Monocytes,1.917847289811308,0.9150387871154808,0.0
XGBoost,EOMES,NK cells,2.359682372087439,0.9416591652082358,2.7190904503376885e-231
XGBoost,EOMES,T cells,1.4775404294202843,0.8259030190487601,2.4447457749917847e-232
XGBoost,FOS,Monocytes,2.2851987680544066,0.9410249218462113,0.0
XGBoost,HLF,Monocytes,3.0607968742203027,0.974517734465691,0.0
XGBoost,LEF1,CD4+ T cells,1.261387840879938,0.8334324899577294,0.0
XGBoost,LEF1,CD8+ T cells,1.3379952699771582,0.8514753423926983,1.3440890899454351e-260
XGBoost,POU2F3,B cells,3.19099499289173,0.9708769542192676,0.0
XGBoost,POU5F1,B cells,3.0987827705167583,0.9698752544115117,0.0
XGBoost,POU5F1B,B cells,2.980311350403526,0.9629696129081126,0.0
XGBoost,SNAI1,B cells,1.8158568363315648,0.9185088917149168,0.0
XGBoost,SNAI1,CD4+ T cells,0.6396431789533233,0.7098649560926263,1.0844207741510273e-166
XGBoost,SNAI1,CD8+ T cells,0.6561168024710281,0.7142101329107549,1.0569804831823089e-97
XGBoost,SPIC,Dendritic cells,0.9133780664127179,0.7509837116582854,2.871948404709158e-57
XGBoost,SPIC,Monocytes,2.2580233018953715,0.9302219554622881,0.0
XGBoost,STAT1::STAT2,B cells,1.289043211453717,0.8376102475438959,1.863716861695175e-221
XGBoost,STAT1::STAT2,Dendritic cells,1.1258140778596986,0.7917235990623686,7.203447839360918e-77
XGBoost,STAT1::STAT2,Monocytes,0.9390745508388485,0.7742817917675126,0.0
XGBoost,TBR1,NK cells,2.2517338041023214,0.9390922599014228,1.2369684472325358e-228
XGBoost,TBR1,T cells,1.3869920043429484,0.8189909003779257,1.1803686350279334e-222
XGBoost,TBX2,NK cells,2.1845588872612334,0.9416056670839353,3.0792481154726006e-231
XGBoost,TBX2,T cells,1.4695195311791722,0.8386181208272978,1.0209000418046875e-250
XGBoost,TBX21,NK cells,2.265257863972398,0.9403523542188671,6.122689432107724e-230
XGBoost,TBX21,T cells,1.448554604342232,0.833384885151987,4.5335319195983116e-243
XGBoost,TCF7L2,CD4+ T cells,1.3240054143485482,0.8445380318900957,0.0
XGBoost,TCF7L2,CD8+ T cells,1.3689546869773384,0.8559195272403136,3.4302522092266745e-267
XGBoost,ZEB1,B cells,1.1626902024528043,0.8203761963129229,1.4471679301253886e-199
XGBoost,ZEB1,CD4+ T cells,0.9730663798337906,0.7690693492122768,4.378154419841406e-273
XGBoost,ZEB1,CD8+ T cells,0.9175959547436406,0.7627293446280528,2.963589806743606e-146
XGBoost,ZEB1,T cells,0.5013108673544376,0.6379970484768616,7.608938027179373e-43
XGBoost,ZKSCAN5,Dendritic cells,1.2157875093824742,0.7947962788585472,1.8210410525382657e-78
XGBoost,ZKSCAN5,Monocytes,1.240272967590663,0.8233591921311634,0.0
