Model,Train_Size,Train_BalAcc,CV_BalAcc,Gap
LogReg,586,0.9606991135206665,0.6442638851364371,0.31643522838422944
LogReg,1640,0.8850259439176744,0.6646389841316672,0.2203869597860072
LogReg,2695,0.8523574520000551,0.681156123990624,0.1712013280094311
LogReg,3750,0.8311749527996817,0.6861133610363016,0.14506159176338007
LogReg,4805,0.8093156368293218,0.6907722972772822,0.11854333955203966
LogReg,5860,0.7987761032098457,0.6957646067737198,0.10301149643612595
Random Forest,586,0.8694031081629573,0.6531216560919179,0.21628145207103944
Random Forest,1640,0.8138724604849533,0.676848095169886,0.13702436531506734
Random Forest,2695,0.7936445079211419,0.6854175344334109,0.10822697348773103
Random Forest,3750,0.7731787190974494,0.6836761485692969,0.08950257052815247
Random Forest,4805,0.7583609504582455,0.6861666038265425,0.07219434663170299
Random Forest,5860,0.7546860654985622,0.6823084935935363,0.07237757190502592
XGBoost,586,1.0,0.5994086412885352,0.4005913587114648
XGBoost,1640,0.9952789610221217,0.6353909388282211,0.3598880221939006
XGBoost,2695,0.9682730629767958,0.6549889908159643,0.31328407216083154
XGBoost,3750,0.9375677023982623,0.6561321646088719,0.28143553778939034
XGBoost,4805,0.9067999359353518,0.6655525131898892,0.24124742274546263
XGBoost,5860,0.8843298556714476,0.6716963436686662,0.21263351200278147
SVM,586,0.8881229988871487,0.6668629755419854,0.22126002334516337
SVM,1640,0.863244283572908,0.697295120894918,0.1659491626779901
SVM,2695,0.8543590338087946,0.7094462842267313,0.14491274958206335
SVM,3750,0.8506647408792573,0.7149226275649218,0.1357421133143355
SVM,4805,0.8425830157405311,0.7198731812061466,0.12270983453438444
SVM,5860,0.8411936348151322,0.720802552872545,0.12039108194258719
