TF,B_cell,Monocyte,NK_cell,T_cells
BANK1,2.7697000129963043,-0.21145452781030294,-0.3803307834611625,-0.3334317225663061
BCL11B,-0.7927054926527748,-0.8016946192959497,-0.07450755301211592,0.991896508936039
BNC2,-0.18623266094824223,-0.17355245101493377,2.6140603099933464,-0.12996039804854545
CAMK4,-0.6338852311959124,-0.676162411586985,-0.6657905531962953,0.9088357296643486
CD22,2.3901766846693295,-0.22687126867826146,-0.27325405347861076,-0.250104588125858
CST7,-0.2757914381574788,-0.24417904429247586,2.476274008276065,-0.02096740466721723
EBF1,2.5201039171282513,-0.2384808195367138,-0.27837657303483715,-0.26571824202304967
FCN1,-0.7193660166443546,0.9980911585234429,-0.8366719963878146,-0.7437967558565909
FCRL1,2.731447319392692,-0.26158482039551023,-0.29442572760104874,-0.2858268040320607
GNLY,-0.3358076170297994,-0.3181837695268318,2.851122929359884,0.01727198358226618
GZMA,-0.33748227640257017,-0.3106936414565423,2.467317811931805,0.06081476589414974
IL7R,-0.5727329039605784,-0.6045460260133436,-0.6130154402739344,0.8162137065098973
INPP4B,-0.6265686186977125,-0.6406865819264829,-0.5068069008351793,0.8503439085996268
IRAK3,-0.6058556471634504,0.950901482672004,-0.7769954497550338,-0.7284448506328444
JAK2,-0.6304221594448861,0.9656129591176225,-0.7599562169700618,-0.7402795475165089
KLRD1,-0.2682382397126287,-0.25894497575880415,2.534595903654967,-0.015373087666403681
KLRF1,-0.215305999284062,-0.19268643285383055,2.7620002940031405,-0.12389622761134826
LEF1,-0.6086690898303547,-0.6550552120477137,-0.6690602826835949,0.882475020696035
LINC00926,2.6062912889292886,-0.23868335487510614,-0.2884920803293432,-0.282772850501404
LRMDA,-0.7688981107423435,1.0218812932018677,-0.7386010795608333,-0.7701449141577928
LYN,0.5091346302227929,0.8701462030643764,-0.19662268780543385,-0.96409691865865
MARCH1,1.0442976796351946,0.7502314306316313,-0.9250165407500208,-0.8619365316443456
MCTP1,-0.6735971854005653,0.9503628814383227,-0.7384722985519867,-0.7183776265600761
MS4A1,2.687802201508159,-0.2580875421092432,-0.30123964414493565,-0.279045885532175
NCR1,-0.17477163384262753,-0.16798138427825293,2.537607115420247,-0.12795814405167388
NIBAN3,2.4823772827529034,-0.24272356825558183,-0.30470189895411187,-0.249804183981907
NKG7,-0.40343546814525855,-0.3051033385724437,2.797719325353531,0.02569501765648076
OSBPL10,2.5769022864466287,-0.24864765982967263,-0.24759356180545194,-0.2717603246656345
PAX5,2.7971706993521988,-0.2758785520531019,-0.2775613863484666,-0.2877791817232932
PLXDC2,-0.8186525481797199,1.07055742136258,-0.6485061116992771,-0.8205649660475922
PRF1,-0.26806332581291276,-0.3242786682729019,2.9003232572495548,0.002313139221256388
PRKCH,-0.8713240222876781,-0.7819088951840935,1.1541229066635428,0.8263582521883921
RALGPS2,2.5023936654657146,-0.2549776950629732,-0.3337401490483717,-0.23788665277284918
RBM47,-0.4843458507409977,0.9417948865275247,-0.750089302273582,-0.7490100143329326
SLC8A1,-0.780843915706696,1.0539650156852278,-0.8360384247647108,-0.7871370590868866
SPON2,-0.22775843839332094,-0.2442731107514844,2.353605432044293,-0.01501368577331463
TBXAS1,-0.6714352056742646,0.9448615375656493,-0.5083793608521308,-0.7437088925344432
TNFAIP2,-0.7337978786624701,0.9551987681285995,-0.7141237954769049,-0.713499776905513
ZEB2,-0.21169221256552614,0.8619362146257841,0.26777163735292214,-0.8616700629637226
