CellType,Rank,TF_Feature,F_Score
Monocyte,1,PLXDC2,6238.266547151607
Monocyte,2,SLC8A1,5085.11440144413
Monocyte,3,LRMDA,3676.0463555772712
Monocyte,4,FCN1,3005.8867754496723
Monocyte,5,JAK2,2365.0377800480614
Monocyte,6,TNFAIP2,2204.1167041580675
Monocyte,7,IRAK3,2142.5603849451963
Monocyte,8,MCTP1,2135.0299421580066
Monocyte,9,TBXAS1,2060.3535239728244
Monocyte,10,RBM47,2020.4220243421057
T_cells,1,BCL11B,2657.5201227501334
T_cells,2,LYN,2193.267697754035
T_cells,3,CAMK4,1571.0255705370848
T_cells,4,LEF1,1360.80054094242
T_cells,5,MARCH1,1222.7756006378145
T_cells,6,ZEB2,1221.11024237692
T_cells,7,INPP4B,1152.9933921193365
T_cells,8,PRKCH,1024.1594530989184
T_cells,9,PLXDC2,995.8106770341057
T_cells,10,IL7R,975.1579556018302
NK_cell,1,PRF1,1012.790024882553
NK_cell,2,GNLY,946.9348067566439
NK_cell,3,NKG7,881.2817382295535
NK_cell,4,KLRF1,840.4090984007275
NK_cell,5,BNC2,692.9717009207039
NK_cell,6,NCR1,628.3051177505996
NK_cell,7,KLRD1,625.8959072534054
NK_cell,8,CST7,581.1215529231785
NK_cell,9,GZMA,574.5503626025359
NK_cell,10,SPON2,497.4543167022018
B_cell,1,PAX5,3761.403562467304
B_cell,2,BANK1,3438.808210414116
B_cell,3,FCRL1,3060.0798178964524
B_cell,4,MS4A1,2704.5722334343004
B_cell,5,LINC00926,2193.839910005475
B_cell,6,OSBPL10,2045.4968619517647
B_cell,7,EBF1,1798.3204068291059
B_cell,8,RALGPS2,1730.1991799739635
B_cell,9,NIBAN3,1657.60783613961
B_cell,10,CD22,1373.2586859537037
