"feature_name","feature_type","feature_index"
"IGKC","RNA",1
"JCHAIN","RNA",2
"IGHA1","RNA",3
"IGLC2","RNA",4
"IGHG1","RNA",5
"IGLC3","RNA",6
"PTGDS","RNA",7
"TXNDC5","RNA",8
"MZB1","RNA",9
"SOX5","RNA",10
"IGHG3","RNA",11
"IGHGP","RNA",12
"TCF4","RNA",13
"LINC01374","RNA",14
"LINC01478","RNA",15
"IGHM","RNA",16
"GNLY","RNA",17
"ZNF385D","RNA",18
"CUX2","RNA",19
"MKI67","RNA",20
"IGHA2","RNA",21
"KLHL14","RNA",22
"RRM2","RNA",23
"IGHG2","RNA",24
"NKAIN2","RNA",25
"TP63","RNA",26
"AC023590.1","RNA",27
"LINC00996","RNA",28
"IGLC1","RNA",29
"CDKN1C","RNA",30
"EPHB1","RNA",31
"LINC02694","RNA",32
"IGHG4","RNA",33
"EREG","RNA",34
"HSP90B1","RNA",35
"IGKV1.5","RNA",36
"GPM6A","RNA",37
"RGS7","RNA",38
"PLXNA4","RNA",39
"CLNK","RNA",40
"BANK1","RNA",41
"ITM2C","RNA",42
"AL136456.1","RNA",43
"AL589693.1","RNA",44
"HMOX1","RNA",45
"TOP2A","RNA",46
"CXCL10","RNA",47
"IGLC7","RNA",48
"C1QB","RNA",49
"COL26A1","RNA",50
"IL1B","RNA",51
"RHEX","RNA",52
"FCGR3A","RNA",53
"PPBP","RNA",54
"BX284613.2","RNA",55
"PTPRS","RNA",56
"NTM","RNA",57
"IGHD","RNA",58
"XACT","RNA",59
"CCSER1","RNA",60
"EBF1","RNA",61
"LINC02161","RNA",62
"IFNG.AS1","RNA",63
"LINGO2","RNA",64
"FAM160A1","RNA",65
"IGHV3.23","RNA",66
"ASPM","RNA",67
"PDZRN4","RNA",68
"SERPINE1","RNA",69
"GP1BB","RNA",70
"TSHZ2","RNA",71
"OSBPL10","RNA",72
"ZFAT","RNA",73
"PCDH9","RNA",74
"COL24A1","RNA",75
"C1QA","RNA",76
"RALGPS2","RNA",77
"CST3","RNA",78
"AFF3","RNA",79
"MS4A1","RNA",80
"NKG7","RNA",81
"CCL5","RNA",82
"NRG1","RNA",83
"COL19A1","RNA",84
"NEGR1","RNA",85
"IRF4","RNA",86
"DIAPH3","RNA",87
"CXCL8","RNA",88
"LIX1.AS1","RNA",89
"DLGAP1","RNA",90
"CD79A","RNA",91
"IGHV1.2","RNA",92
"SLC35F3","RNA",93
"CCDC26","RNA",94
"EDA","RNA",95
"HBA1","RNA",96
"CD1C","RNA",97
"PAX5","RNA",98
"CLEC4C","RNA",99
"RPS29","RNA",100
"SLC24A3","RNA",101
"IGLV1.44","RNA",102
"TNFRSF17","RNA",103
"CLEC9A","RNA",104
"C1QC","RNA",105
"SLC4A10","RNA",106
"IGLV10.54","RNA",107
"MEG3","RNA",108
"STEAP1B","RNA",109
"AC007381.1","RNA",110
"NRP1","RNA",111
"MRC1","RNA",112
"CCL4","RNA",113
"FMNL2","RNA",114
"TCF7L2","RNA",115
"PRF1","RNA",116
"HLA.DPB1","RNA",117
"AC105402.3","RNA",118
"IGLV1.51","RNA",119
"C5orf17","RNA",120
"GZMB","RNA",121
"AL163541.1","RNA",122
"TPX2","RNA",123
"MYO1D","RNA",124
"SLC38A11","RNA",125
"BNC2","RNA",126
"HLA.DPA1","RNA",127
"AC025887.2","RNA",128
"LARGE1","RNA",129
"LILRA4","RNA",130
"Z93403.1","RNA",131
"GALNTL6","RNA",132
"PLD4","RNA",133
"SOX4","RNA",134
"SCN9A","RNA",135
"TUBB1","RNA",136
"PID1","RNA",137
"VCAN","RNA",138
"FCRL1","RNA",139
"UBE2C","RNA",140
"CALN1","RNA",141
"KIF18B","RNA",142
"COBLL1","RNA",143
"AL353072.2","RNA",144
"CENPF","RNA",145
"AXL","RNA",146
"SLIT2","RNA",147
"GATA2","RNA",148
"FTL","RNA",149
"GZMH","RNA",150
"GPC5","RNA",151
"IKZF2","RNA",152
"HLA.DRB1","RNA",153
"AKAP6","RNA",154
"GP9","RNA",155
"NCKAP5","RNA",156
"ZNF521","RNA",157
"PDE4D","RNA",158
"TNFRSF21","RNA",159
"KIAA1211","RNA",160
"LMNA","RNA",161
"RGS13","RNA",162
"BCL11A","RNA",163
"HLA.DRA","RNA",164
"PHEX","RNA",165
"P2RY14","RNA",166
"HLA.DQA1","RNA",167
"SSPN","RNA",168
"ACOXL","RNA",169
"LYZ","RNA",170
"IGKV3.20","RNA",171
"FCRL5","RNA",172
"SYN3","RNA",173
"DERL3","RNA",174
"CCDC50","RNA",175
"IFITM3","RNA",176
"PPIB","RNA",177
"MSR1","RNA",178
"PLEKHG1","RNA",179
"IFIT2","RNA",180
"RUNX2","RNA",181
"BLK","RNA",182
"MTSS1","RNA",183
"NCAM1","RNA",184
"LYPD2","RNA",185
"AUTS2","RNA",186
"DACH1","RNA",187
"IGHV4.39","RNA",188
"ADGRB3","RNA",189
"UGCG","RNA",190
"BAALC","RNA",191
"FCER1A","RNA",192
"HIST1H4C","RNA",193
"GTSE1","RNA",194
"RPL39","RNA",195
"CD74","RNA",196
"PF4","RNA",197
"EMP1","RNA",198
"STMN1","RNA",199
"P3H2","RNA",200
"ITGA8","RNA",201
"MIR924HG","RNA",202
"AC008691.1","RNA",203
"BMP6","RNA",204
"DNASE1L3","RNA",205
"AC007368.1","RNA",206
"AC013652.1","RNA",207
"NIBAN3","RNA",208
"AC243829.2","RNA",209
"ADAM12","RNA",210
"EML6","RNA",211
"CD38","RNA",212
"FLT3","RNA",213
"CENPE","RNA",214
"ZMAT4","RNA",215
"CDCA2","RNA",216
"IGHV4.59","RNA",217
"PARD6G.AS1","RNA",218
"SGCD","RNA",219
"ZNF804A","RNA",220
"CD36","RNA",221
"RBMS3","RNA",222
"LINC01505","RNA",223
"MS4A7","RNA",224
"KHDRBS2","RNA",225
"IDO1","RNA",226
"NUSAP1","RNA",227
"AL137182.1","RNA",228
"THBS1","RNA",229
"ACSL1","RNA",230
"SEL1L3","RNA",231
"LINC00926","RNA",232
"MEIS1","RNA",233
"CAVIN2","RNA",234
"GZMA","RNA",235
"TOX","RNA",236
"AL355076.2","RNA",237
"PTPRG","RNA",238
"NELL2","RNA",239
"AC007100.1","RNA",240
"TGFBR3","RNA",241
"PACSIN1","RNA",242
"MIR3681HG","RNA",243
"SDC1","RNA",244
"MAGI2","RNA",245
"SASH1","RNA",246
"ST6GALNAC5","RNA",247
"PAPSS2","RNA",248
"RPS12","RNA",249
"LNCAROD","RNA",250
"DLG2","RNA",251
"AC139720.1","RNA",252
"IGLV1.47","RNA",253
"ADAM28","RNA",254
"SPATS2","RNA",255
"AC018742.1","RNA",256
"AIF1","RNA",257
"DENND5B","RNA",258
"LRRC7","RNA",259
"KIT","RNA",260
"AC108879.1","RNA",261
"MAN1A1","RNA",262
"PLAUR","RNA",263
"SEMA5A","RNA",264
"GNG7","RNA",265
"ANXA1","RNA",266
"GZMK","RNA",267
"CASC15","RNA",268
"VNN1","RNA",269
"PRR16","RNA",270
"HIP1","RNA",271
"RPS15A","RNA",272
"IL2RA","RNA",273
"DISC1FP1","RNA",274
"IGF1","RNA",275
"GPR39","RNA",276
"LINC01320","RNA",277
"CLEC10A","RNA",278
"TPSAB1","RNA",279
"WDFY4","RNA",280
"PDGFD","RNA",281
"ST8SIA6","RNA",282
"CHSY3","RNA",283
"HES1","RNA",284
"PTX3","RNA",285
"VNN3","RNA",286
"AL592429.2","RNA",287
"IGLV3.1","RNA",288
"IGLV2.14","RNA",289
"WARS","RNA",290
"KCNH8","RNA",291
"SLC8A1","RNA",292
"SETBP1","RNA",293
"CHODL","RNA",294
"AL109930.1","RNA",295
"SAT1","RNA",296
"CD22","RNA",297
"BLNK","RNA",298
"TMTC2","RNA",299
"BIRC5","RNA",300
"AC064834.1","RNA",301
"PRICKLE1","RNA",302
"BACH2","RNA",303
"G0S2","RNA",304
"SPON2","RNA",305
"LINC00299","RNA",306
"KLRD1","RNA",307
"PLCB1","RNA",308
"AL163932.1","RNA",309
"LHFPL6","RNA",310
"LINC02506","RNA",311
"KCNQ5","RNA",312
"TRDC","RNA",313
"NPR3","RNA",314
"RASSF6","RNA",315
"FGF13","RNA",316
"AP002075.1","RNA",317
"CDC20","RNA",318
"PPP2R2B","RNA",319
"MED12L","RNA",320
"AC112206.2","RNA",321
"AC002460.2","RNA",322
"DTNA","RNA",323
"SAMD4A","RNA",324
"KCNK10","RNA",325
"SYT1","RNA",326
"AL136962.1","RNA",327
"LINC02842","RNA",328
