feature,importance,feature_type
BCL11B,0.024564020021419445,RNA
DMXL2,0.016641242881593937,RNA
CD247,0.015905714499294205,RNA
HCK,0.015904559730369514,RNA
MEF2C,0.01560198944538111,RNA
ZEB2,0.01554569885283315,RNA
CD36,0.014756689503496687,RNA
CLEC7A,0.014557165303413465,RNA
LRMDA,0.014503223894432876,RNA
PRKCH,0.013968632552210734,RNA
LYN,0.013104933114306782,RNA
SLC8A1,0.01235944794531484,RNA
PTPRE,0.011316450230760217,RNA
LYZ,0.01092004370633526,RNA
ITK,0.0099883804074841,RNA
THEMIS,0.009191079722661089,RNA
HDAC9,0.00891540798449706,RNA
LINC00926,0.008637177873831378,RNA
LEF1,0.008583180775632481,RNA
CAMK4,0.008559901606830312,RNA
