feature,importance,feature_type
THEMIS,0.0408713098140994,RNA
TRAC,0.035650339119138924,RNA
BCL11B,0.03557526655686988,RNA
CAMK4,0.03406736477022549,RNA
LEF1,0.03400629644163939,RNA
INPP4B,0.03390023339860932,RNA
IL7R,0.033698422585085916,RNA
LYN,0.03232709302520691,RNA
PRKCH,0.0291692278383363,RNA
ITK,0.029079993150616018,RNA
LRMDA,0.02906943805590541,RNA
TC2N,0.028958031304088666,RNA
MARCH1,0.02884515264753084,RNA
PLXDC2,0.028165761873468195,RNA
CD247,0.028056224735910372,RNA
CD74,0.02762229832660288,RNA
SLC8A1,0.027559130626097238,RNA
HLA.DRA,0.02723772460902984,RNA
FCN1,0.027009761410121035,RNA
MEF2C,0.02694614749599869,RNA
