feature,importance,feature_type
BCL11B,0.023529004976818445,RNA
MARCH1,0.018876804677326883,RNA
LRMDA,0.018226223535374217,RNA
IRAK3,0.017685900814153235,RNA
DMXL2,0.017377241101691296,RNA
CD36,0.01567478893836298,RNA
ZEB2,0.01461732815468357,RNA
SLC8A1,0.013713161295106224,RNA
LYZ,0.013629197126262036,RNA
CLEC7A,0.013516913689516383,RNA
MCTP1,0.012890047978911546,RNA
LRRK2,0.010492179799505947,RNA
LEF1,0.010464260108126905,RNA
TLR2,0.010245394049811708,RNA
RBM47,0.010137698238265005,RNA
CD247,0.01001367026825782,RNA
FCN1,0.009940264668775628,RNA
LYN,0.009796335938191073,RNA
PRKCH,0.009636515957280085,RNA
CSF3R,0.009617916836792348,RNA
