CellType,Rank,TF_Feature,F_Score,Is_Top
Monocyte,1,PLXDC2,6238.266547151607,True
Monocyte,2,SLC8A1,5085.11440144413,False
Monocyte,3,LRMDA,3676.0463555772712,False
Monocyte,4,FCN1,3005.8867754496723,False
Monocyte,5,JAK2,2365.0377800480614,False
T_cells,1,BCL11B,2657.5201227501334,True
T_cells,2,LYN,2193.267697754035,False
T_cells,3,CAMK4,1571.0255705370848,False
T_cells,4,LEF1,1360.80054094242,False
T_cells,5,MARCH1,1222.7756006378145,False
NK_cell,1,PRF1,1012.790024882553,True
NK_cell,2,GNLY,946.9348067566439,False
NK_cell,3,NKG7,881.2817382295535,False
NK_cell,4,KLRF1,840.4090984007275,False
NK_cell,5,BNC2,692.9717009207039,False
B_cell,1,PAX5,3761.403562467304,True
B_cell,2,BANK1,3438.808210414116,False
B_cell,3,FCRL1,3060.0798178964524,False
B_cell,4,MS4A1,2704.5722334343004,False
B_cell,5,LINC00926,2193.839910005475,False
