TF,B_cell,HSC_-G-CSF,Monocyte,NK_cell,Pre-B_cell_CD34-,T_cells
AC004870.3,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
AC007381.1,0.11827956989247312,0.0,0.006880733944954129,0.0,1.0,0.002320185614849188
AC092969.1,0.010752688172043012,0.0,0.0,0.0,0.6666666666666666,0.0069605568445475635
AC124254.2,0.0,0.5,0.0,0.0,0.0,0.0
AFF2,0.021505376344086023,0.5,0.01834862385321101,0.0,0.0,0.02088167053364269
AR,0.021505376344086023,0.0,0.006880733944954129,0.0,0.6666666666666666,0.002320185614849188
BANK1,0.946236559139785,0.5,0.12155963302752294,0.0,0.3333333333333333,0.030162412993039442
BCL11B,0.043010752688172046,1.0,0.04357798165137615,0.5263157894736842,0.0,0.9466357308584686
BNC2,0.0,0.5,0.0045871559633027525,0.5263157894736842,0.0,0.01160092807424594
CA8,0.03225806451612903,0.0,0.0,0.0,0.6666666666666666,0.002320185614849188
CALN1,0.0,0.5,0.034403669724770644,0.017543859649122806,0.0,0.009280742459396751
CAMK4,0.07526881720430108,0.5,0.05733944954128441,0.05263157894736842,0.0,0.8236658932714617
CCR9,0.010752688172043012,0.5,0.006880733944954129,0.017543859649122806,0.0,0.002320185614849188
CD22,0.6989247311827957,0.0,0.020642201834862386,0.0,0.0,0.0069605568445475635
CFH,0.0,0.5,0.009174311926605505,0.017543859649122806,0.0,0.013921113689095127
CST7,0.010752688172043012,0.0,0.027522935779816515,0.7017543859649122,0.0,0.08584686774941995
DMXL2,0.03225806451612903,1.0,0.8853211009174312,0.0,0.0,0.058004640371229696
EBF1,0.7526881720430108,0.0,0.01834862385321101,0.0,0.0,0.004640371229698376
EGR1,0.010752688172043012,0.5,0.10091743119266056,0.0,0.0,0.013921113689095127
FCN1,0.16129032258064516,1.0,0.9587155963302753,0.12280701754385964,0.0,0.16009280742459397
FCRL1,0.8602150537634409,0.0,0.013761467889908258,0.0,0.0,0.004640371229698376
GNLY,0.06451612903225806,0.5,0.10321100917431193,1.0,0.3333333333333333,0.20417633410672853
GZMA,0.021505376344086023,0.5,0.045871559633027525,0.8771929824561403,0.0,0.16937354988399073
IL7R,0.053763440860215055,0.5,0.05733944954128441,0.03508771929824561,0.0,0.7146171693735499
INPP4B,0.053763440860215055,0.0,0.05963302752293578,0.15789473684210525,0.0,0.7726218097447796
IRAK3,0.10752688172043011,1.0,0.8922018348623854,0.0,0.0,0.030162412993039442
JAK2,0.25806451612903225,1.0,0.9564220183486238,0.15789473684210525,1.0,0.16473317865429235
KCNK17,0.010752688172043012,0.0,0.0045871559633027525,0.0,0.6666666666666666,0.0
KLRD1,0.010752688172043012,0.0,0.022935779816513763,0.7719298245614035,0.0,0.09048723897911833
KLRF1,0.0,0.0,0.009174311926605505,0.5964912280701754,0.3333333333333333,0.025522041763341066
LEF1,0.07526881720430108,0.0,0.04128440366972477,0.03508771929824561,0.3333333333333333,0.7842227378190255
LINC00926,0.8064516129032258,0.0,0.022935779816513763,0.0,0.0,0.004640371229698376
LINC01226,0.03225806451612903,0.0,0.009174311926605505,0.017543859649122806,1.0,0.002320185614849188
LINC01478,0.053763440860215055,0.0,0.006880733944954129,0.0,1.0,0.0069605568445475635
LRMDA,0.03225806451612903,1.0,0.9311926605504587,0.07017543859649122,0.0,0.03480278422273782
LYN,0.8279569892473119,1.0,0.944954128440367,0.45614035087719296,0.6666666666666666,0.060324825986078884
MARCH1,0.9354838709677419,1.0,0.8853211009174312,0.017543859649122806,1.0,0.05336426914153132
MCTP1,0.08602150537634409,1.0,0.9036697247706422,0.05263157894736842,0.3333333333333333,0.060324825986078884
MROH9,0.021505376344086023,0.0,0.0,0.0,0.6666666666666666,0.0
MS4A1,0.8387096774193549,0.0,0.022935779816513763,0.0,0.0,0.01160092807424594
MYO3B,0.0,0.5,0.009174311926605505,0.017543859649122806,0.0,0.009280742459396751
NCR1,0.0,0.0,0.0022935779816513763,0.47368421052631576,0.0,0.009280742459396751
NIBAN3,0.8064516129032258,0.0,0.02522935779816514,0.0,1.0,0.02088167053364269
NKG7,0.03225806451612903,0.5,0.10779816513761468,1.0,0.0,0.20649651972157773
NR6A1,0.021505376344086023,1.0,0.20642201834862386,0.21052631578947367,0.0,0.018561484918793503
OR5AN1,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
OSBPL10,0.7849462365591398,0.0,0.01834862385321101,0.017543859649122806,0.0,0.0069605568445475635
PARVA,0.0,0.5,0.0,0.017543859649122806,0.0,0.002320185614849188
PAX5,0.9139784946236559,0.0,0.01834862385321101,0.017543859649122806,0.0,0.01160092807424594
PLXDC2,0.043010752688172046,1.0,0.9793577981651376,0.15789473684210525,0.0,0.037122969837587005
PRF1,0.043010752688172046,0.5,0.02522935779816514,0.9298245614035088,0.3333333333333333,0.15081206496519722
PRKCH,0.053763440860215055,0.0,0.0963302752293578,0.9824561403508771,0.3333333333333333,0.9187935034802784
RALGPS2,0.946236559139785,0.0,0.13073394495412843,0.05263157894736842,0.6666666666666666,0.10904872389791183
SLC8A1,0.03225806451612903,1.0,0.963302752293578,0.017543859649122806,0.0,0.04176334106728538
SPON2,0.021505376344086023,0.0,0.022935779816513763,0.6140350877192983,0.0,0.09048723897911833
STARD13,0.0,0.5,0.02522935779816514,0.0,0.3333333333333333,0.002320185614849188
TBXAS1,0.12903225806451613,0.5,0.9243119266055045,0.24561403508771928,0.0,0.07888631090487239
TNFAIP2,0.03225806451612903,1.0,0.8853211009174312,0.03508771929824561,0.3333333333333333,0.027842227378190254
ZEB2,0.46236559139784944,1.0,0.9380733944954128,0.6491228070175439,0.3333333333333333,0.12993039443155452
