CellType,Rank,TF_Feature,F_Score
T_cells,1,BCL11B,2643.668386701501
T_cells,2,LYN,2184.3341518424722
T_cells,3,CAMK4,1578.514307223668
T_cells,4,LEF1,1365.86727899
T_cells,5,MARCH1,1232.0453129079162
T_cells,6,ZEB2,1222.4758565236564
T_cells,7,INPP4B,1163.9981187146877
T_cells,8,PRKCH,1032.1448273654987
T_cells,9,PLXDC2,982.3942605837466
T_cells,10,IL7R,979.2157338128009
Monocyte,1,PLXDC2,5879.991567903928
Monocyte,2,SLC8A1,4883.785765987513
Monocyte,3,LRMDA,3560.431459103984
Monocyte,4,FCN1,2900.868124685498
Monocyte,5,JAK2,2279.6749469111032
Monocyte,6,TNFAIP2,2151.5510666068762
Monocyte,7,MCTP1,2096.672470257085
Monocyte,8,IRAK3,2074.102337284115
Monocyte,9,TBXAS1,2046.2435621983448
Monocyte,10,DMXL2,1969.7906989432386
NK_cell,1,PRF1,1006.1103426669613
NK_cell,2,GNLY,943.8040033466606
NK_cell,3,NKG7,884.9980253476069
NK_cell,4,KLRF1,832.3406935613993
NK_cell,5,BNC2,682.7611206928171
NK_cell,6,NCR1,631.6394018427175
NK_cell,7,KLRD1,629.4183307437523
NK_cell,8,CST7,584.3982255090551
NK_cell,9,GZMA,576.4761899697467
NK_cell,10,SPON2,500.2748142338975
B_cell,1,PAX5,3782.1146024348286
B_cell,2,BANK1,3431.8646786702666
B_cell,3,FCRL1,3076.8602598699267
B_cell,4,MS4A1,2719.491508465022
B_cell,5,LINC00926,2205.9258602770174
B_cell,6,OSBPL10,2056.777777499311
B_cell,7,EBF1,1808.2275444495938
B_cell,8,RALGPS2,1709.85947599434
B_cell,9,NIBAN3,1512.9520529818801
B_cell,10,CD22,1380.8707310852421
HSC_-G-CSF,1,AC124254.2,1018.0039138943246
HSC_-G-CSF,2,PARVA,76.54215673899265
HSC_-G-CSF,3,CFH,68.33351044144659
HSC_-G-CSF,4,AFF2,40.18293058226266
HSC_-G-CSF,5,CCR9,38.19570634804738
HSC_-G-CSF,6,STARD13,36.56481120257931
HSC_-G-CSF,7,MYO3B,34.593596053689765
HSC_-G-CSF,8,CALN1,30.826597873100095
HSC_-G-CSF,9,NR6A1,27.419334268325645
HSC_-G-CSF,10,EGR1,23.224954261920036
Pre-B_cell_CD34-,1,KCNK17,615.9626824021046
Pre-B_cell_CD34-,2,OR5AN1,508.50293542074377
Pre-B_cell_CD34-,3,AC004870.3,508.5029354207435
Pre-B_cell_CD34-,4,LINC01478,469.70845464106765
Pre-B_cell_CD34-,5,AC007381.1,467.07177230890096
Pre-B_cell_CD34-,6,AC092969.1,465.8075470968562
Pre-B_cell_CD34-,7,LINC01226,460.3554962553771
Pre-B_cell_CD34-,8,MROH9,387.555687972455
Pre-B_cell_CD34-,9,CA8,386.5118613332639
Pre-B_cell_CD34-,10,AR,377.981297805668
