TF,CellType,MeanExpression,DetectionRate,Significance
LYN,T_cells,-0.9668202633065863,0.060324825986078884,2184.3341518424722
LYN,Monocyte,0.8680877018851598,0.944954128440367,1301.7769395705404
LYN,NK_cell,-0.19906785219266718,0.45614035087719296,0.0
LYN,B_cell,0.5069452760593163,0.8279569892473119,26.934499304428016
LYN,HSC_-G-CSF,0.7493328206671575,1.0,0.0
LYN,Pre-B_cell_CD34-,0.3051955744466978,0.6666666666666666,0.0
CD22,T_cells,-0.2493329656164356,0.0069605568445475635,48.439439055543936
CD22,Monocyte,-0.2260468566514377,0.020642201834862386,40.31056703835391
CD22,NK_cell,-0.2725350299577584,0.0,4.494712597109269
CD22,B_cell,2.3969474143880802,0.6989247311827957,1380.8707310852421
CD22,HSC_-G-CSF,-0.27253502995775836,0.0,0.0
CD22,Pre-B_cell_CD34-,-0.27253502995775836,0.0,0.0
STARD13,T_cells,-0.09469123420507004,0.002320185614849188,6.713649735108109
STARD13,Monocyte,0.07552678690279623,0.02522935779816514,4.347486052966195
STARD13,NK_cell,-0.10960816220080957,0.0,0.0
STARD13,B_cell,-0.10960816220080954,0.0,0.0
STARD13,HSC_-G-CSF,4.201154802020448,0.5,36.56481120257931
STARD13,Pre-B_cell_CD34-,5.307052526282179,0.3333333333333333,92.22449789938177
KLRF1,T_cells,-0.1254397147570609,0.025522041763341066,11.840567095786687
KLRF1,Monocyte,-0.1941747029228074,0.009174311926605505,29.439580133361144
KLRF1,NK_cell,2.758140332162754,0.5964912280701754,832.3406935613993
KLRF1,B_cell,-0.2167761128970302,0.0,4.821010798698007
KLRF1,HSC_-G-CSF,-0.21677611289703022,0.0,0.0
KLRF1,Pre-B_cell_CD34-,0.7014731088594043,0.3333333333333333,0.0
MARCH1,T_cells,-0.866123622214711,0.05336426914153132,1232.0453129079162
MARCH1,Monocyte,0.7465503174514526,0.8853211009174312,722.6193146662398
MARCH1,NK_cell,-0.9292234289215837,0.017543859649122806,54.817945388350196
MARCH1,B_cell,1.0407088588691404,0.9354838709677419,124.04166234514972
MARCH1,HSC_-G-CSF,1.116899498909816,1.0,0.0
MARCH1,Pre-B_cell_CD34-,0.5831184471959311,1.0,0.0
CCR9,T_cells,-0.05524360063796366,0.002320185614849188,0.0
CCR9,Monocyte,0.00031330131369742154,0.006880733944954129,0.0
CCR9,NK_cell,0.16165172263676225,0.017543859649122806,0.0
CCR9,B_cell,0.06585925459454053,0.010752688172043012,0.0
