CellType,Rank,TF_Feature,F_Score,Is_Top
T_cells,1,BCL11B,2643.668386701501,True
T_cells,2,LYN,2184.3341518424722,False
T_cells,3,CAMK4,1578.514307223668,False
T_cells,4,LEF1,1365.86727899,False
T_cells,5,MARCH1,1232.0453129079162,False
Monocyte,1,PLXDC2,5879.991567903928,True
Monocyte,2,SLC8A1,4883.785765987513,False
Monocyte,3,LRMDA,3560.431459103984,False
Monocyte,4,FCN1,2900.868124685498,False
Monocyte,5,JAK2,2279.6749469111032,False
NK_cell,1,PRF1,1006.1103426669613,True
NK_cell,2,GNLY,943.8040033466606,False
NK_cell,3,NKG7,884.9980253476069,False
NK_cell,4,KLRF1,832.3406935613993,False
NK_cell,5,BNC2,682.7611206928171,False
B_cell,1,PAX5,3782.1146024348286,True
B_cell,2,BANK1,3431.8646786702666,False
B_cell,3,FCRL1,3076.8602598699267,False
B_cell,4,MS4A1,2719.491508465022,False
B_cell,5,LINC00926,2205.9258602770174,False
HSC_-G-CSF,1,AC124254.2,1018.0039138943246,True
HSC_-G-CSF,2,PARVA,76.54215673899265,False
HSC_-G-CSF,3,CFH,68.33351044144659,False
HSC_-G-CSF,4,AFF2,40.18293058226266,False
HSC_-G-CSF,5,CCR9,38.19570634804738,False
Pre-B_cell_CD34-,1,KCNK17,615.9626824021046,True
Pre-B_cell_CD34-,2,OR5AN1,508.50293542074377,False
Pre-B_cell_CD34-,3,AC004870.3,508.5029354207435,False
Pre-B_cell_CD34-,4,LINC01478,469.70845464106765,False
Pre-B_cell_CD34-,5,AC007381.1,467.07177230890096,False
