feature,score,p_value,feature_type
PAX5,3761.403562467304,0.0,RNA
BANK1,3438.808210414116,0.0,RNA
FCRL1,3060.0798178964524,1.253418106071933e-308,RNA
MS4A1,2704.5722334343004,1.6747793674810405e-288,RNA
LINC00926,2193.839910005475,6.178101914521258e-256,RNA
OSBPL10,2045.4968619517647,1.6904122200684e-245,RNA
EBF1,1798.3204068291059,6.285063806698615e-227,RNA
RALGPS2,1730.1991799739635,1.599083118281462e-221,RNA
NIBAN3,1657.60783613961,1.3000173374758616e-215,RNA
CD22,1373.2586859537037,8.388276801347633e-191,RNA
AFF3,1310.8057031087333,5.865266274522962e-185,RNA
IGHM,1283.3134027412186,2.4610671422507072e-182,RNA
COL19A1,1280.2087015532122,4.889811006832738e-182,RNA
BLK,1258.46578303103,6.149247966079022e-180,RNA
BLNK,1085.3110964830169,1.837139401457804e-162,RNA
CD79A,1055.6869110549874,2.49987970620647e-159,RNA
PLEKHG1,946.8725338921976,2.0296685210495137e-147,RNA
SEL1L3,868.1803823815983,2.1883136699828196e-138,RNA
IGHD,838.8088320053205,6.439345405775826e-135,RNA
GNG7,802.2724374293534,1.5902186877505643e-130,RNA
COBLL1,795.9196957730444,9.424288214956793e-130,RNA
AP002075.1,795.1039815788814,1.1848806511417993e-129,RNA
ADAM28,787.2349938035777,1.0842426646294874e-128,RNA
AC120193.1,732.2799157868551,7.403007546149018e-122,RNA
CD79B,663.0793755053993,6.14815991167531e-113,RNA
DENND5B,661.0850770575975,1.125207277396858e-112,RNA
TPD52,639.3097479215801,8.666690395600209e-110,RNA
KHDRBS2,599.4394149345881,2.10618035891398e-104,RNA
BCL11A,574.4405470574349,5.87338888971915e-101,RNA
STRBP,564.4000952937499,1.4724254168768183e-99,RNA
LINC02397,561.0763123830228,4.297093499374444e-99,RNA
LARGE1,554.9346284133132,3.127969970453741e-98,RNA
RUBCNL,516.0655743978054,1.0741769854185813e-92,RNA
SWAP70,506.82235660681636,2.3351238174659007e-91,RNA
LIX1.AS1,470.12268496337,5.748989193350413e-86,RNA
RASGRP3,455.76260914542024,8.048464553151326e-84,RNA
FCER2,452.48407577255074,2.504088981124071e-83,RNA
FCRL2,450.3342917059881,5.278107756318637e-83,RNA
WDFY4,437.0702168601029,5.384341306030432e-81,RNA
CDK14,431.1793504175377,4.257502387995245e-80,RNA
SETBP1,410.5069847280454,6.4557461274075405e-77,RNA
IGKC,404.3304275042982,5.879516479353099e-76,RNA
ANGPTL1,389.61650660918866,1.180060037539927e-73,RNA
PALM2.AKAP2,378.1112257784093,7.751243841022583e-72,RNA
SPIB,376.02317597628104,1.6628020220034445e-71,RNA
AUTS2,343.69005641394364,2.622645585838103e-66,RNA
MICAL3,337.81147030028706,2.3834505770062825e-65,RNA
ADAM19,333.72828936846537,1.1102635170395968e-64,RNA
STEAP1B,332.7414199172453,1.6115217929178274e-64,RNA
POU2AF1,332.3666431851812,1.8565947997073942e-64,RNA
BTLA,332.16965951511594,2.0000397239646516e-64,RNA
STAP1,328.98103856081156,6.681909821378295e-64,RNA
CCSER1,327.2643225317747,1.2807458625497792e-63,RNA
P2RX5,326.58704502627916,1.655922065919957e-63,RNA
SIPA1L3,315.157444385708,1.290155560872829e-61,RNA
PCDH9,284.08845938682686,2.1729199344885898e-56,RNA
CPNE5,282.9404360917127,3.408675539110461e-56,RNA
ABCB4,278.96227874036833,1.627587285843927e-55,RNA
KCNH8,277.82925364588016,2.5427735058636354e-55,RNA
TSBP1.AS1,274.4180805021287,9.765862502723507e-55,RNA
TCF4,274.0174128107805,1.144079524303333e-54,RNA
HLA.DQA1,271.81716628522304,2.731221938991181e-54,RNA
CNR2,270.7545534862158,4.1600658501057614e-54,RNA
GPM6A,246.73515479340261,6.185608388553786e-50,RNA
TLE1,236.54247047027442,3.858632523439771e-48,RNA
