feature,importance,feature_type
SLC8A1,0.3368478093545646,RNA
LYN,0.2821030732367269,RNA
BANK1,0.11805220827050895,RNA
THEMIS,0.04783621026880611,RNA
NKG7,0.046030095109607,RNA
BCL11B,0.018056992521464022,RNA
PLXDC2,0.014354741764570376,RNA
LRMDA,0.012215071408819266,RNA
JCHAIN,0.00854144094597866,RNA
ITK,0.008301953537803167,RNA
VCAN.AS1,0.006291709559642704,RNA
TRAC,0.006098202358661313,RNA
CST7,0.005237209878485809,RNA
C1orf21,0.005094032414651537,RNA
NIBAN3,0.005041794397713468,RNA
AIF1,0.004358148248636903,RNA
chr6.37168901.37172986,0.003430604119053665,ATAC
LEF1,0.003427478666345985,RNA
HDAC9,0.002719014460346033,RNA
chr6.32194925.32197881,0.0025314717967536717,ATAC
PDE3B,0.002513970691456414,RNA
CD79A,0.0020162128482942143,RNA
NCR1,0.001973830256466069,RNA
AC026341.1,0.001859850813863423,RNA
AFF3,0.0017052644992870277,RNA
chr19.50375896.50385640,0.0015620417475245053,ATAC
chr17.21040153.21044184,0.0015406534437857678,ATAC
chr19.58572061.58574253,0.0015358100926601472,ATAC
chr19.47225607.47232931,0.0012013447841368494,ATAC
TC2N,0.001161742160211503,RNA
chr4.7067100.7069220,0.001153799944018614,ATAC
chr14.23300303.23303532,0.001079664969861041,ATAC
chr10.119595548.119597871,0.0009137894959725296,ATAC
chr12.990208.992080,0.0008858791862022166,ATAC
chr2.85434620.85438905,0.0008786860052349232,ATAC
chr17.2040988.2043012,0.0008693755833702603,ATAC
KLRB1,0.0008663759533543631,RNA
chr1.36155097.36158429,0.0008308129562464877,ATAC
chr5.80406997.80408809,0.0007524107590561596,ATAC
CD247,0.0007231660470705097,RNA
AC109361.1,0.0007144873409966697,RNA
chr9.85940413.85942139,0.0006902598729996545,ATAC
MTSS1,0.0006218732789317614,RNA
chr5.140400413.140403055,0.0006136675729674426,ATAC
AC092969.1,0.0005678732526487611,RNA
DPYD,0.0005574938106523505,RNA
chr3.132721631.132723499,0.0005460658107236435,ATAC
AC079447.1,0.0005332359794548189,RNA
NR3C2,0.0005221994278098634,RNA
chr19.15835838.15837720,0.0005151843569199089,ATAC
HTR3A,0.0005118902348326631,RNA
chr19.14136061.14137921,0.000509588581743356,ATAC
chrX.154546325.154548240,0.0004839830860487934,ATAC
chr15.74779427.74790951,0.0004812501130418655,ATAC
LINC00159,0.00044438905921078954,RNA
chr22.41380595.41383003,0.0004342763112932568,ATAC
GRK3,0.00043187224141392615,RNA
AC116362.1,0.00041051054394028723,RNA
chr14.100237703.100240927,0.00040019493331335985,ATAC
AC021594.2,0.000387181246566101,RNA
chr11.68838471.68844424,0.0003851170273535549,ATAC
MTRNR2L12,0.0003825035560290647,RNA
AC006230.1,0.00038183559800706023,RNA
TRGC2,0.00038183460794162586,RNA
chr18.74147223.74148985,0.0003776955190867682,ATAC
chr13.74132018.74136793,0.00037601027048340106,ATAC
chr17.4895728.4904018,0.0003742826077668391,ATAC
SLC38A11,0.0003732113026125308,RNA
LINC01505,0.0003685944222384665,RNA
UBE2E2,0.00036678039779644355,RNA
chr19.42279428.42287028,0.0003653698518068148,ATAC
chr12.94147691.94151006,0.00035039222854767844,ATAC
RPS3A,0.00034402146075591163,RNA
chr16.787016.789695,0.00033299877389511524,ATAC
chr20.407155.409373,0.0003276394864341932,ATAC
chr9.123267256.123269619,0.0003185383895887997,ATAC
chr12.1592366.1595655,0.0003148331651166369,ATAC
chr16.46829760.46831976,0.00030994671492155427,ATAC
LINC02397,0.0003061794133318392,RNA
chr17.75514317.75518752,0.0003057968540052748,ATAC
SLC11A1,0.0003021731875299006,RNA
chr13.98575908.98578111,0.0002950142861406637,ATAC
DTHD1,0.00029141500418183505,RNA
chr11.126268151.126269709,0.00028668455063070905,ATAC
chr2.32009106.32011930,0.0002866845506299122,ATAC
chr19.45862277.45864770,0.0002749070134023948,ATAC
chr19.13982930.13987985,0.00027460805703876756,ATAC
chr19.18191729.18195263,0.00027218487711323585,ATAC
chr3.184314024.184317222,0.00026838203096095673,ATAC
chr3.129182345.129184693,0.00026417353161689003,ATAC
UGGT2,0.0002635114271372569,RNA
chr11.62708525.62710385,0.0002548307116710502,ATAC
chr11.67282840.67290525,0.00025447675186223963,ATAC
chr1.207320622.207322890,0.0002533613025808486,ATAC
RBM47,0.0002517957028386393,RNA
MED12L,0.0002404077252243599,RNA
chr9.130712265.130713806,0.00024005468857595574,ATAC
CLCN4,0.00023025548533906525,RNA
chr17.7571883.7574828,0.00022767350945854606,ATAC
chr10.124418042.124419656,0.0002254494675418712,ATAC
chr22.21734691.21736690,0.00022467740563349956,ATAC
chr9.93132371.93135340,0.000219166189193264,ATAC
AC064834.1,0.00021722321242126052,RNA
chr6.30488961.30497137,0.00021611030440502236,ATAC
RPL18A,0.0002160478705580377,RNA
chr12.15881636.15883148,0.00021364355831510437,ATAC
chr2.112644913.112647052,0.00021225112162301263,ATAC
chr1.42957198.42959708,0.00020970445790787536,ATAC
chr12.57519297.57524476,0.0002085638649236947,ATAC
chr17.77453335.77462680,0.00019886347423493707,ATAC
chr4.177440960.177443213,0.00019852389056483958,ATAC
RNF165,0.000194886614698928,RNA
RPS28,0.00019264779319081476,RNA
APP,0.00019248419576633146,RNA
chr10.99430114.99431693,0.00019204375086076867,ATAC
EBF1,0.00018178733616199818,RNA
chr19.3274966.3276940,0.00018077683069671853,ATAC
chr16.30697616.30699779,0.00017351709173428357,ATAC
chr4.1578823.1582625,0.00017335903538752136,ATAC
chr9.96449383.96451671,0.00017274758502334295,ATAC
chr6.159788533.159791413,0.00016893176812307116,ATAC
chr1.153670352.153672356,0.00016446336533986635,ATAC
chr4.183503632.183506684,0.0001639712200168042,ATAC
chr19.11380545.11384564,0.00016283600545604154,ATAC
chr8.144094315.144096472,0.00015589164962990457,ATAC
PLVAP,0.00015374437911745727,RNA
chr5.112975949.112978032,0.0001498373375709664,ATAC
PTPRE,0.00014956451809807625,RNA
IL4R,0.00014166396820367862,RNA
chr8.102238170.102240266,0.00014075626160431573,ATAC
chr8.102653487.102658786,0.0001366293354637486,ATAC
chr17.60390398.60393422,0.00013603448581253283,ATAC
chr1.229557424.229559579,0.0001359655836059342,ATAC
KLRF1,0.00013278265055166765,RNA
chr16.2204775.2206449,0.00013227232629513892,ATAC
chr8.73971095.73973081,0.00013037243667129975,ATAC
chr17.68455849.68458365,0.00012805621682372657,ATAC
chr10.28531782.28534319,0.0001263771914131527,ATAC
SCMH1,0.0001262102279813253,RNA
chr2.152716793.152719277,0.00012578393327648056,ATAC
DYSF,0.000123671992026227,RNA
SESN3,0.00012283437048404703,RNA
ARHGAP24,0.00012238248609851667,RNA
MEF2C,0.00012181949521583791,RNA
BLNK,0.00012173221681858515,RNA
chr20.32819347.32821357,0.00012146973362342718,ATAC
S100A9,0.00011433256499520235,RNA
chr19.16322787.16335739,0.00011258406099642233,ATAC
SAMD3,0.00010629710436010353,RNA
CDK14,0.00010453131144501013,RNA
PARVA,0.00010304020665076249,RNA
chr2.135530138.135532328,0.00010297827197201066,ATAC
chr20.323976.328832,0.00010211031769384048,ATAC
chr14.58297302.58300107,0.00010110825798359341,ATAC
chr3.150761756.150764322,9.934847917133504e-05,ATAC
chr1.150566637.150580600,9.90220216555171e-05,ATAC
AOAH,9.724792363444626e-05,RNA
chr16.75462744.75465321,9.644719294288294e-05,ATAC
chr17.7237400.7240891,9.44470992557655e-05,ATAC
chr8.89983346.89984993,9.424346298429843e-05,ATAC
chr7.142807647.142809886,9.410909193371637e-05,ATAC
GZMA,9.407480440569729e-05,RNA
chr1.10032282.10033906,9.405470717306164e-05,ATAC
chr19.7942999.7944781,9.184236764581416e-05,ATAC
chr17.18857545.18858810,8.693479880187671e-05,ATAC
chr13.36345034.36347129,8.324207274051137e-05,ATAC
chr19.39401060.39417065,8.24000371323489e-05,ATAC
CYYR1,8.21104293804676e-05,RNA
DPF3,7.914369660754855e-05,RNA
chr11.3421766.3423793,7.792857092650391e-05,ATAC
chr9.136790496.136792577,7.742201145942379e-05,ATAC
chr2.196168170.196172469,7.711537631323709e-05,ATAC
chr1.198156076.198159617,7.656923704764484e-05,ATAC
C11orf49,7.439451382936123e-05,RNA
GNLY,7.394036605053923e-05,RNA
chr14.63542266.63544162,7.340941962258562e-05,ATAC
chr17.16380279.16381878,7.331008309750896e-05,ATAC
chr17.4966183.4968877,7.329106181536659e-05,ATAC
chr17.1647873.1650397,7.23874126818547e-05,ATAC
CARD11,7.107910184303872e-05,RNA
S100Z,6.995343789543694e-05,RNA
chr12.7017755.7019246,6.880559715172048e-05,ATAC
AC122697.1,6.747595932793511e-05,RNA
chr14.49767159.49769362,6.593764269539181e-05,ATAC
P2RY14,6.464856471600162e-05,RNA
CD74,6.378307323001653e-05,RNA
chr17.1714049.1718103,6.367248639340663e-05,ATAC
chr1.203304104.203312344,6.352356690510323e-05,ATAC
chr11.65650076.65655264,6.157218147751227e-05,ATAC
chr12.56102947.56105518,5.973986795480952e-05,ATAC
chr4.1711121.1713623,5.8943807078895585e-05,ATAC
chr21.44871806.44875731,5.809356375061319e-05,ATAC
chr7.99372906.99376756,5.806297393446351e-05,ATAC
chr1.20785866.20788251,5.733487196129209e-05,ATAC
FTL,5.6752743315452383e-05,RNA
chr19.55460907.55462606,5.5673196065269415e-05,ATAC
chr10.101059924.101063943,5.462899531767217e-05,ATAC
CD69,5.356542500169646e-05,RNA
APBA2,5.32548484421844e-05,RNA
chr12.55972792.55974862,5.259410839625161e-05,ATAC
SWAP70,5.210562826844479e-05,RNA
TNFRSF21,5.128132386901058e-05,RNA
chr7.39948523.39952781,4.985157328128378e-05,ATAC
chr17.76734354.76738768,4.764368851843681e-05,ATAC
chr1.22039300.22040781,4.725043521926948e-05,ATAC
chr4.6672955.6675205,4.6328733643808126e-05,ATAC
chr15.43791501.43793821,4.557975640436381e-05,ATAC
chr15.90229897.90234874,4.478611600068086e-05,ATAC
chr17.4946994.4950786,4.351481596426913e-05,ATAC
chr8.133295096.133298660,4.222594129969295e-05,ATAC
chr2.27889768.27891808,4.2088068907394955e-05,ATAC
AJAP1,4.086056786651022e-05,RNA
PRF1,4.036987257037251e-05,RNA
AC011511.2,4.0085118616690654e-05,RNA
chr2.201115450.201120636,3.918469980380834e-05,ATAC
chr1.6578804.6582616,3.8459568962440054e-05,ATAC
chr12.53005531.53007430,3.7584233074612756e-05,ATAC
chr13.50123393.50127944,3.717024144089585e-05,ATAC
chr10.110225430.110227842,3.527671862334109e-05,ATAC
AL160262.1,3.4838961583633846e-05,RNA
chr1.2226289.2235546,3.462267969145893e-05,ATAC
chr17.74211781.74214564,3.404539485904612e-05,ATAC
chr3.12483614.12485125,3.254525464403424e-05,ATAC
chr19.12936689.12939694,3.231287039231659e-05,ATAC
PMEPA1,3.203111775082466e-05,RNA
chr12.111402778.111412714,3.2024112184430925e-05,ATAC
RPS13,3.172986090890782e-05,RNA
chr5.128082127.128085111,3.03630932129284e-05,ATAC
chr22.20857631.20859670,3.0110209472547653e-05,ATAC
chr12.132444656.132448415,2.9397601109014964e-05,ATAC
chr16.67183165.67185849,2.9329002292807162e-05,ATAC
chr8.144900099.144903307,2.9175788018591753e-05,ATAC
chr5.150448501.150450384,2.8703048088648074e-05,ATAC
FCRL2,2.826686689869031e-05,RNA
A2M,2.8252655868340164e-05,RNA
chr5.41903593.41904874,2.7799896326223298e-05,ATAC
chr11.13276460.13279200,2.6254974501595013e-05,ATAC
chr13.19957158.19961019,2.5789614149554363e-05,ATAC
PARM1,2.5420197300571606e-05,RNA
COL19A1,2.482469983396793e-05,RNA
chr19.49588562.49594075,2.4323061873933187e-05,ATAC
ZFAT,2.4215401191077017e-05,RNA
chr3.88058007.88060054,2.389398063339172e-05,ATAC
chr2.96815317.96817465,2.3882258462802717e-05,ATAC
chr5.40797207.40799015,2.3168832852341304e-05,ATAC
STAP1,2.313548503372117e-05,RNA
SLC7A11,2.3085415607913593e-05,RNA
chr2.64988141.64990444,2.2789448255489166e-05,ATAC
chr15.89333939.89336064,2.2574201021780105e-05,ATAC
chr2.127386304.127388944,2.2381586000328623e-05,ATAC
chr17.76725431.76728568,2.1956470558697443e-05,ATAC
chr16.2267274.2269353,2.170920346654512e-05,ATAC
LINC00926,2.1565317054681914e-05,RNA
SAT1,2.1411598855143272e-05,RNA
DPP4,2.1409484751136073e-05,RNA
chr14.100544659.100550146,2.1398298811848716e-05,ATAC
TUBB,2.1214497572096478e-05,RNA
chr4.82428665.82431581,2.095550242735126e-05,ATAC
chr2.43126932.43137787,2.0903856823165376e-05,ATAC
chr7.44846018.44849061,2.0238441970508885e-05,ATAC
chr1.7703817.7705992,2.0198095016362344e-05,ATAC
ITM2C,2.0054686146333623e-05,RNA
chr13.97975461.97977431,1.9601660172948217e-05,ATAC
PAX5,1.9397402154710402e-05,RNA
chr19.54448057.54450155,1.825372823888727e-05,ATAC
chr15.80999584.81002592,1.8156878841926e-05,ATAC
chr11.66287273.66290142,1.7909015124064572e-05,ATAC
chr11.7512370.7514730,1.7811182062620303e-05,ATAC
chr15.41283301.41285160,1.7342539847789875e-05,ATAC
KLRD1,1.730270709467389e-05,RNA
chr11.6480735.6482320,1.689640206880021e-05,ATAC
chr4.16225170.16227973,1.633799664181933e-05,ATAC
chr17.40218284.40220312,1.5954504507853896e-05,ATAC
TPT1,1.5903942057301667e-05,RNA
chr19.32580481.32582070,1.5893007712102423e-05,ATAC
chr2.100561990.100564088,1.5853839547438103e-05,ATAC
CCL5,1.5205548236088786e-05,RNA
chr17.75268831.75272861,1.466421167122632e-05,ATAC
COBLL1,1.3725699841001909e-05,RNA
chr7.131101934.131111669,1.3539933012483147e-05,ATAC
chr11.66068008.66071932,1.3416716414980989e-05,ATAC
CACNA2D3,1.3265977759869046e-05,RNA
chr16.28822293.28824901,1.2756268697123785e-05,ATAC
chr17.7613908.7615910,1.2170629663666224e-05,ATAC
chr11.83155847.83160827,1.1999267681106974e-05,ATAC
chr2.173963212.173966230,1.188781026052196e-05,ATAC
GRAP2,1.18802761038969e-05,RNA
LILRA4,1.1686814829760571e-05,RNA
chr19.47239114.47244770,1.1266223600485251e-05,ATAC
chr19.18542487.18544600,1.1179331528648522e-05,ATAC
chr7.149027719.149029429,1.1019055198097972e-05,ATAC
chr6.108557333.108563044,1.0469590926787047e-05,ATAC
S100A10,1.0299729632865839e-05,RNA
chr1.185315692.185318379,1.0088256664899999e-05,ATAC
chr19.18000119.18003046,1.0032093341585881e-05,ATAC
