feature,score,p_value,feature_type
BCL11B,2657.5201227501334,1.0736777474842777e-285,RNA
LYN,2193.267697754035,6.763629051690448e-256,RNA
CAMK4,1571.0255705370848,2.3818384045507745e-208,RNA
LEF1,1360.80054094242,1.1946565263497947e-189,RNA
MARCH1,1222.7756006378145,1.9015445784950318e-176,RNA
ZEB2,1221.11024237692,2.7754085779758478e-176,RNA
INPP4B,1152.9933921193365,1.8511653843500828e-169,RNA
PRKCH,1024.1594530989184,6.063993571562343e-156,RNA
PLXDC2,995.8106770341057,7.437112848185832e-153,RNA
IL7R,975.1579556018302,1.4097734710744364e-150,RNA
THEMIS,929.5813181185072,1.8225123104893005e-145,RNA
TRAC,871.4515741456198,9.060427590682974e-139,RNA
SLC8A1,849.7852879052473,3.2072617242038397e-136,RNA
TC2N,831.9508568252475,4.233415072807803e-134,RNA
LYST,828.5096222022095,1.0920031836998214e-133,RNA
ITK,797.9848067721246,5.281244239323702e-130,RNA
LRMDA,785.4085490913409,1.8150469603091596e-128,RNA
MEF2C,758.4591685772789,3.865765375834815e-125,RNA
RBM47,713.025466021156,2.0655610434988265e-119,RNA
FCN1,696.3485753366369,2.854136652770024e-117,RNA
TBXAS1,696.0712519929529,3.099168348736384e-117,RNA
JAK2,685.3422395564014,7.578903730143915e-116,RNA
GRK3,662.8560755419735,6.578397001604133e-113,RNA
IRAK3,649.690485553212,3.605915027711794e-111,RNA
CD247,646.5377525847211,9.450906449000198e-111,RNA
HDAC9,642.933747535378,2.849743291927901e-110,RNA
LRRK2,639.0402404052635,9.414965118056847e-110,RNA
CD74,638.6242221398404,1.069910310278598e-109,RNA
IL32,632.240511777328,7.6416305322378775e-109,RNA
MCTP1,620.9468770822491,2.5229644889542116e-107,RNA
TNFAIP2,607.5128812829657,1.6681474315137649e-105,RNA
SAT1,605.6543102633476,2.9872003388608477e-105,RNA
FAM49A,580.1730256923405,9.419778537517884e-102,RNA
HLA.DRA,577.8727113174277,1.9617786415636657e-101,RNA
TYMP,569.864108774339,2.543982678301551e-100,RNA
GAB2,566.7225428870304,6.975984538262849e-100,RNA
DMXL2,550.3549347969928,1.3813632780680325e-97,RNA
CSF3R,548.3074991763579,2.6872061997707353e-97,RNA
KYNU,544.5423455745296,9.156771710434701e-97,RNA
NAMPT,539.0719945242168,5.465472431753664e-96,RNA
HCK,534.1961738209443,2.7008827046002003e-95,RNA
TLR2,530.3369347333529,9.600026774853638e-95,RNA
CLEC7A,521.9212647282554,1.5421136513478563e-93,RNA
VCAN,501.4071548713551,1.4306645983286298e-90,RNA
CD36,498.91904310005367,3.297558511386915e-90,RNA
