"peak","accessibility_score"
"chr14-105472652-105500833",1265
"chr19-39401060-39417065",1247
"chr17-2391829-2402868",1221
"chr19-18270118-18283828",1167
"chr17-8138059-8157562",1134
"chr19-45467018-45479580",1108
"chr19-12788277-12797179",1107
"chr19-1850806-1865784",1102
"chr15-75450122-75456557",1082
"chr5-172763116-172774135",1070
"chr11-65416071-65431889",1059
"chr19-54188028-54192173",1058
"chr2-231705989-231716588",1054
"chr19-1247684-1256113",1053
"chr8-143936104-143955843",1032
"chr19-16322787-16335739",1025
"chr17-7841076-7853574",1015
"chr19-13147183-13157490",995
"chr19-13829695-13845207",982
"chr6-33409313-33420315",981
"chr17-58323411-58340392",979
"chr19-53865094-53877987",970
"chr5-132471258-132492416",968
"chr1-44799301-44811026",963
"chr13-110711880-110716561",953
"chr19-2038463-2052985",953
"chr14-75276657-75286774",951
"chr1-15523548-15527485",947
"chr17-40316988-40328198",943
"chr22-49957428-49972825",942
"chr9-99818971-99826130",938
"chr19-38848014-38853171",936
"chr22-50522452-50532892",930
"chr15-31324985-31330512",924
"chr10-3773611-3787171",919
"chr1-58778393-58786173",893
"chr16-22188366-22192867",891
"chr16-29804465-29812797",891
"chr6-32967169-32974813",890
"chr16-30657194-30661290",889
"chr17-41687763-41696423",889
"chr11-65496586-65511253",886
"chr1-2226289-2235546",880
"chr9-93092934-93099157",874
"chr5-177425404-177432698",869
"chr8-100949499-100953857",867
"chr2-218392844-218402307",863
"chr6-108557333-108563044",862
"chr2-30144894-30155073",859
"chr19-49637843-49642863",852
"chr7-100427756-100432316",852
"chr19-49875715-49878714",848
"chr3-120093218-120096234",847
"chr10-102641752-102653033",845
"chr19-48634136-48639343",840
"chr5-150396217-150413924",840
"chr6-41071436-41074547",831
"chr3-9395880-9399208",830
"chr19-42279428-42287028",828
"chr15-74779427-74790951",827
"chr17-63693558-63703086",824
"chr7-2517907-2531524",824
"chr7-105011184-105015928",824
"chr6-15244528-15249839",822
"chr10-74824049-74827577",821
"chr11-118917331-118930864",820
"chr17-28948813-28953959",819
"chr19-41261805-41265888",819
"chr7-100672808-100683138",819
"chr19-42267695-42271282",817
"chr12-57519297-57524476",816
"chr1-234605834-234613903",814
"chr19-55653347-55656031",814
"chr2-156325145-156336014",813
"chr12-53378970-53382297",811
"chr7-5522987-5533648",809
"chr17-78351412-78361525",808
"chr17-76264418-76274928",806
"chr19-795935-806526",804
"chr7-131101934-131111669",804
"chr1-30717504-30720213",802
"chr12-52049964-52063420",802
"chr4-102825110-102828845",802
"chr1-228162214-228167014",801
"chr1-2539318-2549734",800
"chr16-2512277-2521599",800
"chr2-43223629-43230066",800
"chrX-317552-320943",797
"chr19-4062689-4068677",791
"chr2-28389317-28397013",790
"chr2-96140909-96149308",786
"chr19-47225607-47232931",785
"chr19-1939283-1946321",784
"chr12-111402778-111412714",782
"chr19-48871957-48882463",782
"chr5-61329890-61334187",780
"chr8-102653487-102658786",780
"chr8-144461646-144468296",779
"chr9-137451791-137463979",778
"chr1-150566637-150580600",776
"chr14-64501287-64507088",774
"chr17-46191360-46195387",774
"chr11-65856649-65861399",773
"chr19-50375896-50385640",771
"chr19-55338267-55341806",771
"chr9-129883981-129892270",771
"chr11-67503913-67509207",770
"chr5-91379725-91385304",770
"chr19-49495574-49501998",768
"chr8-100719240-100723337",768
"chr11-64776849-64780289",766
"chr5-138463537-138468453",766
"chr12-89707172-89710846",765
"chr19-1264454-1272475",765
"chr19-10565044-10569812",765
"chr16-88450494-88457459",763
"chr17-45221036-45232113",762
"chr17-7833123-7840426",761
"chr16-88697466-88707361",760
"chr21-42973277-42975962",760
"chr11-73375447-73389378",756
"chr19-6736148-6741569",756
"chr2-237689247-237698732",756
"chr11-61961277-61968892",753
"chr17-78123986-78134939",751
"chr9-136481950-136485608",751
"chr2-44167568-44170011",748
"chr19-47271514-47275790",747
"chr1-3899401-3903705",745
"chr19-5903091-5905489",745
"chr1-110337609-110340434",744
"chr16-30921348-30924890",744
"chr16-89487677-89491990",744
"chr19-2093945-2099208",744
"chr19-10870360-10872881",744
"chr13-50123393-50127944",743
"chr17-7306476-7309536",743
"chr16-67561471-67564277",740
"chr7-26199324-26202991",740
"chr11-59614758-59616962",738
"chr13-51451103-51454346",738
"chr5-151770306-151773172",738
"chr11-692704-697632",737
"chr13-97432449-97435129",737
"chr17-44198012-44201048",737
"chr12-6850739-6853514",736
"chr14-100237703-100240927",735
"chr7-155296520-155300068",735
"chr11-65887601-65894473",734
"chr15-70094649-70101459",734
"chr6-151389276-151392408",734
"chr1-159921157-159926549",733
"chr3-39145942-39154941",733
"chr1-154998836-155011007",732
"chr11-64741658-64747384",732
"chr15-90229897-90234874",732
"chrX-149937722-149940956",732
"chr16-89699650-89702683",731
"chr6-163413025-163417158",731
"chr11-64238273-64242818",729
"chr17-79833680-79846011",729
"chrX-1450843-1454637",729
