feature,score,p_value,feature_type
BCL11B,2643.668386701501,1.807473031686051e-285,RNA
LYN,2184.3341518424722,8.716758901544545e-256,RNA
CAMK4,1578.514307223668,2.4086736586157335e-209,RNA
LEF1,1365.86727899,2.0175295622014345e-190,RNA
MARCH1,1232.0453129079162,1.2586694718741131e-177,RNA
ZEB2,1222.4758565236564,1.1062296650244156e-176,RNA
INPP4B,1163.9981187146877,7.966122331893278e-171,RNA
PRKCH,1032.1448273654987,5.085716734484434e-157,RNA
PLXDC2,982.3942605837466,1.4044979261399913e-151,RNA
IL7R,979.2157338128009,3.1604077649620554e-151,RNA
THEMIS,925.4597711721437,3.492500334864731e-145,RNA
TRAC,873.2999085037543,3.7089682360854826e-139,RNA
SLC8A1,843.6124263613187,1.185387580602987e-135,RNA
TC2N,835.1073292536051,1.225197128979728e-134,RNA
LYST,814.0205175150526,4.2008565248736316e-132,RNA
ITK,803.2993520642639,8.385035312578614e-131,RNA
LRMDA,780.9238658733732,4.590721494589184e-128,RNA
MEF2C,767.0969536562765,2.350544274638761e-126,RNA
RBM47,721.2591582124358,1.3616557426708866e-120,RNA
FCN1,694.9101197290044,3.2814120572527436e-117,RNA
JAK2,691.3172954670853,9.577402974695555e-117,RNA
TBXAS1,686.4062536755158,4.156245250252701e-116,RNA
GRK3,658.421484730117,1.9348106100147568e-112,RNA
CD247,652.1674883309163,1.302368717189609e-111,RNA
HDAC9,645.2113411580564,1.0951206633298794e-110,RNA
IRAK3,644.3338768540702,1.433456893948042e-110,RNA
CD74,643.9534253705277,1.611013833473259e-110,RNA
IL32,639.5508608574622,6.234686493825688e-110,RNA
LRRK2,632.7549951871955,5.071089150131069e-109,RNA
MCTP1,618.3595589419242,4.423898638668744e-107,RNA
TNFAIP2,606.3885607005866,1.8739037769055213e-105,RNA
SAT1,595.5553512037418,5.694514548299391e-104,RNA
HLA.DRA,583.3189937321582,2.7686624245283575e-102,RNA
FAM49A,579.2558990501822,1.0121374728433593e-101,RNA
GAB2,572.1208424056493,9.938864700669135e-101,RNA
TYMP,561.4489125759438,3.087378175219715e-99,RNA
KYNU,546.4543250363367,4.0129893470861555e-97,RNA
DMXL2,546.0242538510593,4.6173986414395625e-97,RNA
CSF3R,544.7063814119083,7.099189456656144e-97,RNA
NAMPT,542.9550234956962,1.258092611504149e-96,RNA
HCK,530.5284714052951,7.430590516025552e-95,RNA
