feature,importance,feature_type
BCL11B,0.024564020021419445,RNA
DMXL2,0.016641242881593937,RNA
CD247,0.015905714499294205,RNA
HCK,0.015904559730369514,RNA
MEF2C,0.01560198944538111,RNA
ZEB2,0.01554569885283315,RNA
CD36,0.014756689503496687,RNA
CLEC7A,0.014557165303413465,RNA
LRMDA,0.014503223894432876,RNA
PRKCH,0.013968632552210734,RNA
LYN,0.013104933114306782,RNA
SLC8A1,0.01235944794531484,RNA
PTPRE,0.011316450230760217,RNA
LYZ,0.01092004370633526,RNA
ITK,0.0099883804074841,RNA
THEMIS,0.009191079722661089,RNA
HDAC9,0.00891540798449706,RNA
LINC00926,0.008637177873831378,RNA
LEF1,0.008583180775632481,RNA
CAMK4,0.008559901606830312,RNA
NEAT1,0.008441758471464314,RNA
FCN1,0.008405727455080664,RNA
IRAK3,0.008047711106381463,RNA
DPYD,0.007985988273094215,RNA
SULF2,0.007898229785349995,RNA
AC020916.1,0.007858536012857669,RNA
MS4A6A,0.007729519692989322,RNA
CSF3R,0.007485925431078733,RNA
TLR2,0.00728643970276493,RNA
TNFAIP2,0.0072156687762361124,RNA
FGD4,0.007191980807718228,RNA
LRRK2,0.00710893736867506,RNA
JAK2,0.0067686304973387824,RNA
LYST,0.00664944869119151,RNA
EXT1,0.0065283057726006,RNA
BACH1,0.0063209911222022385,RNA
MARCH1,0.006136298750762761,RNA
IL7R,0.005978692541955798,RNA
BACH2,0.005950965679635126,RNA
RAB11FIP1,0.005914232765637368,RNA
TNFSF13B,0.005899274063029432,RNA
MYOF,0.0052367520602099316,RNA
IGHM,0.005231018666146895,RNA
TBXAS1,0.005210747070855484,RNA
MAML3,0.005189565342909375,RNA
SEL1L3,0.0051537778449117265,RNA
MCTP1,0.0051506792946998305,RNA
GAS7,0.005119446818348889,RNA
WDFY4,0.005022158115702986,RNA
BCL11A,0.00487583648921643,RNA
AFF3,0.004780311990518574,RNA
PAX5,0.004614352877149578,RNA
CD74,0.004596421692745084,RNA
KIF13A,0.004586869263082323,RNA
SAT1,0.004575354147187778,RNA
TMTC2,0.004420247415517346,RNA
TMEM176B,0.004285477069516415,RNA
SYNE2,0.004223594883937507,RNA
FRY,0.004056485532569527,RNA
PLXDC2,0.0040063520790459065,RNA
ITGAX,0.003956490227094074,RNA
CPPED1,0.003938964724696422,RNA
ARHGAP24,0.0038821611545229073,RNA
AOAH,0.0038472443206796097,RNA
RALGPS2,0.003622144561106407,RNA
RIPK2,0.003595048622876324,RNA
NR3C2,0.0034930514967826867,RNA
TCF4,0.0033939299774134474,RNA
PSAP,0.003352363533031983,RNA
CLEC12A,0.003292217864570288,RNA
CPVL,0.0032876914176562444,RNA
PRF1,0.00320042915410677,RNA
TC2N,0.003176014991866571,RNA
BANK1,0.003135122312714112,RNA
PSTPIP2,0.003124623454870488,RNA
FAM49A,0.0030498833101438826,RNA
IFI30,0.0030497562550633158,RNA
TRAC,0.00304614605338767,RNA
SLC11A1,0.0030364374008957917,RNA
OSBPL10,0.0029347473608234225,RNA
STAT4,0.0028948645728867047,RNA
RTN1,0.002822857117593558,RNA
MTSS1,0.0028047404212120943,RNA
FTH1,0.002764345139554342,RNA
INPP4B,0.0027119087175544567,RNA
HLA.DRA,0.0026584726467099584,RNA
IGKC,0.00264695117544055,RNA
PILRA,0.002635626402602925,RNA
COBLL1,0.0026304393655699142,RNA
LINC00877,0.002579398339395847,RNA
SLC31A2,0.002575202850812384,RNA
IL32,0.002462085703865272,RNA
STX11,0.0024480247255354616,RNA
TYMP,0.002437184942413037,RNA
