feature,score,p_value,feature_type
KCNK17,615.9626824021046,9.345432544649837e-107,RNA
OR5AN1,508.50293542074377,1.1116240941940835e-91,RNA
AC004870.3,508.5029354207435,1.1116240941941782e-91,RNA
LINC01478,469.70845464106765,5.645280488774849e-86,RNA
AC007381.1,467.07177230890096,1.396008062243745e-85,RNA
AC092969.1,465.8075470968562,2.1560952754102414e-85,RNA
LINC01226,460.3554962553771,1.4114013361175527e-84,RNA
MROH9,387.555687972455,2.213740107475289e-73,RNA
CA8,386.5118613332639,3.2349206871468384e-73,RNA
AR,377.981297805668,7.257767166087688e-72,RNA
LAMP5,363.5038281328156,1.4882854434384553e-69,RNA
KCNK1,337.13798207561103,2.7958272090078092e-65,RNA
COL24A1,322.0491991327357,8.517371682407426e-63,RNA
LRRC36,297.4941128646031,1.0801469001361438e-58,RNA
CUX2,293.5547832667426,4.9998779491464065e-58,RNA
COL26A1,283.40334565675215,2.649950778585583e-56,RNA
CLEC4C,267.25261140889825,1.5662332484482716e-53,RNA
NRP1,265.92994618416725,2.650959378141104e-53,RNA
CYP46A1,254.80219541277035,2.2684372107055698e-51,RNA
LINC01374,243.68178367081725,2.0138529835543777e-49,RNA
LRRC63,232.61561712579385,1.8208642104991308e-47,RNA
PLXNA4,232.19078523703246,2.1663565446127216e-47,RNA
EPHB1,216.0483759172078,1.6683643091063403e-44,RNA
AC023590.1,207.78528209438238,5.1865384605419615e-43,RNA
SCN9A,201.4974044940419,7.20456516995032e-42,RNA
FAM160A1,199.8166334295596,1.4591122170463925e-41,RNA
RHEX,184.56632699941147,9.225209010848768e-39,RNA
BX284613.2,176.77227010452302,2.574111535392438e-37,RNA
AC069277.1,165.65272272535003,3.090976509387862e-35,RNA
PTCRA,161.63143242770138,1.7665249066264975e-34,RNA
DANT2,153.10365283856046,7.268632102521966e-33,RNA
ITM2C,151.12264106331946,1.7307040239281986e-32,RNA
SCAMP5,150.91880232067945,1.892469914517005e-32,RNA
SLC7A11,147.89877731484242,7.125323670718455e-32,RNA
PTPRS,139.4266985178755,2.9952516746631243e-30,RNA
LRRC26,130.37054169494598,1.6824156426506502e-28,RNA
LDLRAD2,129.4443149734006,2.5450100118165194e-28,RNA
PACSIN1,129.18194861959643,2.8617780528334986e-28,RNA
PLCB4,127.1843654260703,6.997375568552477e-28,RNA
SERPINF1,124.48776971511602,2.345627140821115e-27,RNA
TNFRSF21,119.64474545185602,2.075236535342378e-26,RNA
