feature,score,p_value,feature_type
PLXDC2,6238.266547151607,0.0,RNA
SLC8A1,5085.11440144413,0.0,RNA
LRMDA,3676.0463555772712,0.0,RNA
FCN1,3005.8867754496723,1.1215309206645864e-305,RNA
JAK2,2365.0377800480614,2.1369099288723343e-267,RNA
TNFAIP2,2204.1167041580675,1.2183860348148355e-256,RNA
IRAK3,2142.5603849451963,2.20370723704013e-252,RNA
MCTP1,2135.0299421580066,7.407437742730614e-252,RNA
TBXAS1,2060.3535239728244,1.4459283567901666e-246,RNA
RBM47,2020.4220243421057,1.1018111413989161e-243,RNA
DMXL2,2000.0375829454651,3.372615607624075e-242,RNA
SAT1,1905.076241807505,3.846611844691855e-235,RNA
TYMP,1805.7921410534611,1.6345674690554794e-227,RNA
VCAN,1730.5489551980654,1.498905193338303e-221,RNA
CSF3R,1720.1012807821962,1.0388851696964545e-220,RNA
CLEC7A,1650.084729320809,5.440183495478813e-215,RNA
NAMPT,1647.6216795913072,8.700154102035914e-215,RNA
TLR2,1642.6337947839972,2.2544876502680524e-214,RNA
GAB2,1444.529457521347,2.7414186236442693e-197,RNA
CD36,1408.9067282155552,4.5269413226307986e-194,RNA
LRRK2,1395.6660979239855,7.310148066667048e-193,RNA
LYST,1360.5898664908475,1.2496909868831797e-189,RNA
LYN,1335.5796114389555,2.699296072148595e-187,RNA
ZEB2,1278.8900654656568,6.547163337504646e-182,RNA
HCK,1220.9357065399572,2.8876525515043552e-176,RNA
LYZ,1143.8890758143714,1.5695305604214064e-168,RNA
FGD4,1132.8714599705554,2.1107789684674833e-167,RNA
PTPRE,1121.1813950239448,3.375684086682251e-166,RNA
SLC11A1,1091.5593171115445,4.062884710456693e-163,RNA
NEAT1,1084.819490452965,2.069112680858128e-162,RNA
AC020916.1,1076.3636852462553,1.606745146993817e-161,RNA
STX11,1066.9867638341002,1.5750845722768378e-160,RNA
CPPED1,1005.184717901925,7.003016088886248e-154,RNA
DPYD,967.7546344115771,9.363053485729938e-150,RNA
DOCK5,958.075798933116,1.12479687062095e-148,RNA
BCL11B,945.6413406702113,2.7921017013184834e-147,RNA
RNF130,943.8715212427453,4.4175778882661916e-147,RNA
WARS,941.3718894872069,8.451033131919103e-147,RNA
GRK3,923.3996063627633,9.187426423271712e-145,RNA
KLF4,922.1571296128235,1.2725260691210472e-144,RNA
WDFY3,921.5255203101079,1.501823293991274e-144,RNA
CPVL,906.179218886207,8.552973877686893e-143,RNA
RTN1,897.7310406104446,8.026600446125734e-142,RNA
PID1,897.092644490527,9.510166125496564e-142,RNA
GAS7,892.1976232006862,3.497705373191294e-141,RNA
MNDA,889.8874199230706,6.474723430857457e-141,RNA
MAML3,886.9070690796151,1.4345600804274562e-140,RNA
PRKCH,860.4592099501373,1.7647542889800973e-137,RNA
CTSS,855.6303092017397,6.539870642967939e-137,RNA
ARHGAP26,853.0077506042375,1.3339689750249714e-136,RNA
FAM49A,850.3343473198277,2.76167777934667e-136,RNA
BACH1,850.3023867373804,2.7858252043824457e-136,RNA
ACSL1,823.5813273665855,4.25535788633271e-133,RNA
MYOF,821.2007869292789,8.219394741395552e-133,RNA
CD247,819.9455918615241,1.1634263404368965e-132,RNA
SULF2,814.5811531432872,5.1501296993219545e-132,RNA
MS4A6A,814.0672707730482,5.940301809512995e-132,RNA
CLEC12A,812.0474072823484,1.0414460962978762e-131,RNA
PSTPIP2,804.9814666280005,7.459939189660955e-131,RNA
DYSF,793.5867328254831,1.814383600915359e-129,RNA
PRAM1,775.4871870044325,3.008602362158376e-127,RNA
SCLT1,764.9845635298459,5.979897625313175e-126,RNA
MARCH1,742.2032871201197,4.1640456002349865e-123,RNA
EMILIN2,739.0880866921669,1.0259463533161582e-122,RNA
CREB5,731.8233391965841,8.454487291871751e-122,RNA
ADAMTSL4.AS1,730.5832696094666,1.2128887853829933e-121,RNA
AOAH,729.6312750793847,1.6003699496490264e-121,RNA
RAB11FIP1,723.2409442557563,1.0330472163967973e-120,RNA
PSAP,710.8473676989541,3.9211347522841256e-119,RNA
RAB31,709.8043878505816,5.331329731859904e-119,RNA
KYNU,708.397613251638,8.070979739389309e-119,RNA
TCF7L2,691.5941796665485,1.1736118087614538e-116,RNA
KIF13A,690.9472528891781,1.4230179503473136e-116,RNA
FTH1,660.5845790553637,1.3096545127242367e-112,RNA
RGS2,659.3881616909706,1.882893093854493e-112,RNA
AP003086.1,657.5016430912709,3.339403707905589e-112,RNA
SRGN,655.8963013499081,5.440580627933379e-112,RNA
SLC31A2,640.5525255811347,5.916737021222568e-110,RNA
