feature,score,p_value,feature_type
AC124254.2,1018.0039138943246,1.735270467146233e-155,RNA
PARVA,76.54215673899265,8.7755474105486e-18,RNA
CFH,68.33351044144659,4.2651803730499737e-16,RNA
AFF2,40.18293058226266,3.466494933411574e-10,RNA
CCR9,38.19570634804738,9.237413100436364e-10,RNA
STARD13,36.56481120257931,2.069504985283224e-09,RNA
MYO3B,34.593596053689765,5.501926334552676e-09,RNA
CALN1,30.826597873100095,3.597587540872326e-08,RNA
NR6A1,27.419334268325645,1.9887259586168587e-07,RNA
EGR1,23.224954261920036,1.659887879667765e-06,RNA
LINC02356,21.51500423643322,3.966808030968982e-06,RNA
NIPAL2,21.448232166661704,4.1044109175935055e-06,RNA
ZNF366,21.3900731041187,4.228169456350652e-06,RNA
STEAP4,19.935142918655764,8.904210157323953e-06,RNA
chr1.113072480.113073879,18.146808802635846,2.2341750899830737e-05,ATAC
NUSAP1,17.65061632530383,2.8865975716657337e-05,RNA
AC109927.1,17.58077250227983,2.9927045413220137e-05,RNA
chr13.77325277.77327586,17.38008387279505,3.319963655079709e-05,ATAC
chr6.144215117.144217051,15.75772783842315,7.703937690161161e-05,ATAC
chr14.23006543.23007615,15.527642291698651,8.684591927419996e-05,ATAC
chr10.102431875.102436260,15.40051144104816,9.279466680426758e-05,ATAC
chr6.116278408.116280690,15.254393550607986,0.0001001412671337186,ATAC
LIN7A,15.204281178094778,0.00010279366687168656,RNA
AC010201.3,15.125727348323334,0.00010709474461725341,RNA
chr20.63215265.63217291,14.978016544943303,0.00011568011426276504,ATAC
chr17.73191401.73193824,14.86426279954615,0.000122762284641075,ATAC
chr18.50878118.50880394,14.858740013779945,0.00012311704861499705,ATAC
chr1.111448308.111450029,14.303121647319236,0.0001646491788425993,ATAC
chr16.88684880.88687486,14.150612642174883,0.00017834780940139232,ATAC
chr1.26305619.26308844,14.032128473751786,0.00018977978573892634,ATAC
chr9.120842321.120843862,13.96191859730647,0.00019690011556295622,ATAC
chr7.103074172.103075963,13.812395780075036,0.00021297576772648524,ATAC
