feature,importance,feature_type
THEMIS,0.02930283606364649,RNA
TRAC,0.02551002217854309,RNA
BCL11B,0.025439568766070664,RNA
INPP4B,0.02420642408613061,RNA
CAMK4,0.02396318452334939,RNA
LEF1,0.02371264251879421,RNA
IL7R,0.02344968850352307,RNA
LYN,0.02262669679498656,RNA
PRKCH,0.021592881537564352,RNA
TC2N,0.02103406894161544,RNA
CD247,0.020852530455215627,RNA
ITK,0.020558609475325104,RNA
LRMDA,0.020523181637108732,RNA
MARCH1,0.020224558336878088,RNA
BNC2,0.020022588052442076,RNA
CD74,0.01997212862677095,RNA
PLXDC2,0.019894281378463306,RNA
LYZ,0.019838565870983996,RNA
SLC8A1,0.019691801669459334,RNA
HLA.DRA,0.019482396211045607,RNA
FCN1,0.019354038155422422,RNA
MEF2C,0.019234274189127317,RNA
BCL2,0.019194744853311147,RNA
IL32,0.018963839931191922,RNA
CLEC7A,0.018780633844791887,RNA
DMXL2,0.01848615239176259,RNA
DOCK5,0.018436011265698733,RNA
PRF1,0.018371005704334996,RNA
SAT1,0.018224702130762552,RNA
JAK2,0.01816133574612822,RNA
TRBC2,0.018125568439710138,RNA
VCAN,0.018075346317980932,RNA
FGD4,0.018071583450792687,RNA
ANK3,0.017987341865423844,RNA
HLA.DQB1,0.017886695590984453,RNA
SRGN,0.01787734854436081,RNA
CD36,0.01778743245523549,RNA
HLA.DQA1,0.017562000476403893,RNA
TNFAIP2,0.017541151233258626,RNA
KLRF1,0.017539377418860008,RNA
TYMP,0.017531082246738012,RNA
CPVL,0.017486849984430175,RNA
TCF7L2,0.01745469501844363,RNA
ZEB2,0.017421274692426086,RNA
ARHGAP26,0.01705668615098571,RNA
RBM47,0.017037438411199906,RNA
SYNE2,0.01694258679069054,RNA
TLR2,0.016721522331097124,RNA
HLA.DRB1,0.01668342374824491,RNA
ARHGAP24,0.016680234690771612,RNA
IRAK3,0.016570518193704187,RNA
NCR1,0.016527708588581092,RNA
PSAP,0.01649528948998374,RNA
CSF3R,0.016469265461978477,RNA
BACH2,0.016435147328413804,RNA
NR3C2,0.01637838715640397,RNA
